"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","1","0.0-0.0","3","1","680or5kyaf1d7b1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","61235","0.0-1.0","3","1","680or5kyaf1d7b1","[{""page_index"":0,""viewing_time"":4867.999999999996},{""page_index"":1,""viewing_time"":56361.000000000015}]","61234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","65142","0.0-2.0","3","1","680or5kyaf1d7b1","","3146","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","67227","0.0-3.0-0.0-0.0","3","1","680or5kyaf1d7b1","","2084.0000000000146","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","72726","0.0-3.0-0.0-1.0","3","1","680or5kyaf1d7b1","","5246","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","77061","0.0-3.0-0.0-2.0","3","1","680or5kyaf1d7b1","","4064","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","85752","0.0-3.0-1.0-0.0","3","1","680or5kyaf1d7b1","","8690.000000000015","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","86506","0.0-3.0-1.0-1.0-0.0","3","1","680or5kyaf1d7b1","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","91676","0.0-3.0-1.0-1.0-1.0","3","1","680or5kyaf1d7b1","","5163","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","92431","0.0-3.0-1.0-1.0-0.1","3","1","680or5kyaf1d7b1","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","97612","0.0-3.0-1.0-1.0-1.1","3","1","680or5kyaf1d7b1","","5184","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","98365","0.0-3.0-1.0-1.0-0.2","3","1","680or5kyaf1d7b1","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","103409","0.0-3.0-1.0-1.0-1.2","3","1","680or5kyaf1d7b1","","5035","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","104162","0.0-3.0-1.0-1.0-0.3","3","1","680or5kyaf1d7b1","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","108778","0.0-3.0-1.0-1.0-1.3","3","1","680or5kyaf1d7b1","","4619","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","109531","0.0-3.0-1.0-1.0-0.4","3","1","680or5kyaf1d7b1","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","113937","0.0-3.0-1.0-1.0-1.4","3","1","680or5kyaf1d7b1","","4395","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","114690","0.0-3.0-1.0-1.0-0.5","3","1","680or5kyaf1d7b1","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","119235","0.0-3.0-1.0-1.0-1.5","3","1","680or5kyaf1d7b1","","4544","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","121742","0.0-3.0-2.0","3","1","680or5kyaf1d7b1","","2254","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","137653","0.0-4.0-0.0","3","1","680or5kyaf1d7b1","[{""page_index"":0,""viewing_time"":1320},{""page_index"":1,""viewing_time"":12727},{""page_index"":2,""viewing_time"":1863}]","15910","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","137960","0.0-4.0-1.0-0.0","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","140570","0.0-4.0-1.0-1.0","3","1","680or5kyaf1d7b1","","2608","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","141573","0.0-4.0-1.0-2.0","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","142376","0.0-4.0-1.0-0.1","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","145379","0.0-4.0-1.0-1.1","3","1","680or5kyaf1d7b1","","3001","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","146381","0.0-4.0-1.0-2.1","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","147186","0.0-4.0-1.0-0.2","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","152673","0.0-4.0-1.0-1.2","3","1","680or5kyaf1d7b1","","5485.000000000029","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","153676","0.0-4.0-1.0-2.2","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","154482","0.0-4.0-1.0-0.3","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","156231","0.0-4.0-1.0-1.3","3","1","680or5kyaf1d7b1","","1747","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","157233","0.0-4.0-1.0-2.3","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","158034","0.0-4.0-1.0-0.4","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","159564","0.0-4.0-1.0-1.4","3","1","680or5kyaf1d7b1","","1527.999999999971","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","160566","0.0-4.0-1.0-2.4","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","36","161373","0.0-4.0-1.0-0.5","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","37","163001","0.0-4.0-1.0-1.5","3","1","680or5kyaf1d7b1","","1627","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","164004","0.0-4.0-1.0-2.5","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","39","164808","0.0-4.0-1.0-0.6","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","40","166546","0.0-4.0-1.0-1.6","3","1","680or5kyaf1d7b1","","1738","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","167549","0.0-4.0-1.0-2.6","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","42","168360","0.0-4.0-1.0-0.7","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","43","169606","0.0-4.0-1.0-1.7","3","1","680or5kyaf1d7b1","","1244","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","170608","0.0-4.0-1.0-2.7","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","45","171410","0.0-4.0-1.0-0.8","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","46","173127","0.0-4.0-1.0-1.8","3","1","680or5kyaf1d7b1","","1715","","What sound did you hear?","1","","","0","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","174129","0.0-4.0-1.0-2.8","3","1","680or5kyaf1d7b1","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","48","174941","0.0-4.0-1.0-0.9","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","49","176487","0.0-4.0-1.0-1.9","3","1","680or5kyaf1d7b1","","1544","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","177490","0.0-4.0-1.0-2.9","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","51","178301","0.0-4.0-1.0-0.10","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","52","179862","0.0-4.0-1.0-1.10","3","1","680or5kyaf1d7b1","","1559","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","53","180864","0.0-4.0-1.0-2.10","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","54","181672","0.0-4.0-1.0-0.11","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","55","182727","0.0-4.0-1.0-1.11","3","1","680or5kyaf1d7b1","","1054","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","56","183729","0.0-4.0-1.0-2.11","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","57","184530","0.0-4.0-1.0-0.12","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","58","186153","0.0-4.0-1.0-1.12","3","1","680or5kyaf1d7b1","","1621","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","59","187155","0.0-4.0-1.0-2.12","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","60","187965","0.0-4.0-1.0-0.13","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","61","189108","0.0-4.0-1.0-1.13","3","1","680or5kyaf1d7b1","","1141.000000000029","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","62","190111","0.0-4.0-1.0-2.13","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","63","190920","0.0-4.0-1.0-0.14","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/ge_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","64","193113","0.0-4.0-1.0-1.14","3","1","680or5kyaf1d7b1","","2193.000000000029","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","65","194115","0.0-4.0-1.0-2.14","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","66","194920","0.0-4.0-1.0-0.15","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","67","196006","0.0-4.0-1.0-1.15","3","1","680or5kyaf1d7b1","","1084","","What sound did you hear?","0","","","0","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","68","197008","0.0-4.0-1.0-2.15","3","1","680or5kyaf1d7b1","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","69","197810","0.0-4.0-1.0-0.16","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","70","199234","0.0-4.0-1.0-1.16","3","1","680or5kyaf1d7b1","","1422","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","71","200235","0.0-4.0-1.0-2.16","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","72","201042","0.0-4.0-1.0-0.17","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","73","202319","0.0-4.0-1.0-1.17","3","1","680or5kyaf1d7b1","","1275","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","74","203322","0.0-4.0-1.0-2.17","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","75","204125","0.0-4.0-1.0-0.18","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","76","205196","0.0-4.0-1.0-1.18","3","1","680or5kyaf1d7b1","","1069","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","77","206198","0.0-4.0-1.0-2.18","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","78","207005","0.0-4.0-1.0-0.19","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/ge_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","79","208215","0.0-4.0-1.0-1.19","3","1","680or5kyaf1d7b1","","1208","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","80","209217","0.0-4.0-1.0-2.19","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","81","210024","0.0-4.0-1.0-0.20","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","82","211396","0.0-4.0-1.0-1.20","3","1","680or5kyaf1d7b1","","1371","","What sound did you hear?","1","","","0","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","83","212399","0.0-4.0-1.0-2.20","3","1","680or5kyaf1d7b1","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","84","213202","0.0-4.0-1.0-0.21","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","85","214714","0.0-4.0-1.0-1.21","3","1","680or5kyaf1d7b1","","1511.000000000029","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","86","215716","0.0-4.0-1.0-2.21","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","87","216520","0.0-4.0-1.0-0.22","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","88","218002","0.0-4.0-1.0-1.22","3","1","680or5kyaf1d7b1","","1482","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","89","219005","0.0-4.0-1.0-2.22","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","90","219816","0.0-4.0-1.0-0.23","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","91","221595","0.0-4.0-1.0-1.23","3","1","680or5kyaf1d7b1","","1777","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","92","222597","0.0-4.0-1.0-2.23","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","93","223400","0.0-4.0-1.0-0.24","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","94","224785","0.0-4.0-1.0-1.24","3","1","680or5kyaf1d7b1","","1383","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","95","225788","0.0-4.0-1.0-2.24","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","96","226600","0.0-4.0-1.0-0.25","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","97","227716","0.0-4.0-1.0-1.25","3","1","680or5kyaf1d7b1","","1115","","What sound did you hear?","0","","","0","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","98","228719","0.0-4.0-1.0-2.25","3","1","680or5kyaf1d7b1","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","99","229522","0.0-4.0-1.0-0.26","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","100","231073","0.0-4.0-1.0-1.26","3","1","680or5kyaf1d7b1","","1548.999999999971","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","101","232075","0.0-4.0-1.0-2.26","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","102","232882","0.0-4.0-1.0-0.27","3","1","680or5kyaf1d7b1","","null","","sounds/induction/right/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","103","234488","0.0-4.0-1.0-1.27","3","1","680or5kyaf1d7b1","","1605.000000000029","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","104","235491","0.0-4.0-1.0-2.27","3","1","680or5kyaf1d7b1","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","105","236296","0.0-4.0-1.0-0.28","3","1","680or5kyaf1d7b1","","null","","sounds/induction/left/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
