"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","4","0.0-0.0","1","0","j0e8e9kss88xvs2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","10951","0.0-1.0","1","0","j0e8e9kss88xvs2","[{""page_index"":0,""viewing_time"":5463.799999952316},{""page_index"":1,""viewing_time"":5479.200000047684}]","10946.899999976158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","13215","0.0-2.0","1","0","j0e8e9kss88xvs2","","2048","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","34371","0.0-3.0-0.0-0.0","1","0","j0e8e9kss88xvs2","","21152.299999952316","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","39595","0.0-3.0-0.0-1.0","1","0","j0e8e9kss88xvs2","","4973.399999976158","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","44728","0.0-3.0-0.0-2.0","1","0","j0e8e9kss88xvs2","","4464","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","721092","0.0-3.0-1.0-0.0","1","0","j0e8e9kss88xvs2","","676381.2999999523","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","721845","0.0-3.0-1.0-1.0-0.0","1","0","j0e8e9kss88xvs2","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","727824","0.0-3.0-1.0-1.0-1.0","1","0","j0e8e9kss88xvs2","","5829","","audCalib/t2_2.mp3","0","","1","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","728578","0.0-3.0-1.0-1.0-0.1","1","0","j0e8e9kss88xvs2","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","732638","0.0-3.0-1.0-1.0-1.1","1","0","j0e8e9kss88xvs2","","4059","","audCalib/t1_1.mp3","1","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","733390","0.0-3.0-1.0-1.0-0.2","1","0","j0e8e9kss88xvs2","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","738077","0.0-3.0-1.0-1.0-1.2","1","0","j0e8e9kss88xvs2","","4683","","audCalib/t1_2.mp3","2","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","738828","0.0-3.0-1.0-1.0-0.3","1","0","j0e8e9kss88xvs2","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","742940","0.0-3.0-1.0-1.0-1.3","1","0","j0e8e9kss88xvs2","","4112","","audCalib/t3_2.mp3","1","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","743692","0.0-3.0-1.0-1.0-0.4","1","0","j0e8e9kss88xvs2","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","747541","0.0-3.0-1.0-1.0-1.4","1","0","j0e8e9kss88xvs2","","3851","","audCalib/t3_1.mp3","0","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","748297","0.0-3.0-1.0-1.0-0.5","1","0","j0e8e9kss88xvs2","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","753116","0.0-3.0-1.0-1.0-1.5","1","0","j0e8e9kss88xvs2","","4816","","audCalib/t2_1.mp3","2","","1","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","756108","0.0-3.0-2.0","1","0","j0e8e9kss88xvs2","","2740.900000035763","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","766051","0.0-4.0-0.0","1","0","j0e8e9kss88xvs2","[{""page_index"":0,""viewing_time"":1243.5999999642372},{""page_index"":1,""viewing_time"":4072.900000035763},{""page_index"":2,""viewing_time"":4625}]","9941.899999976158","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","766356","0.0-4.0-1.0-0.0","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/left_rev/ge_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","768787","0.0-4.0-1.0-1.0","1","0","j0e8e9kss88xvs2","","2430.199999988079","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","769789","0.0-4.0-1.0-2.0","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","770591","0.0-4.0-1.0-0.1","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","771531","0.0-4.0-1.0-1.1","1","0","j0e8e9kss88xvs2","","937.5","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","772532","0.0-4.0-1.0-2.1","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","773338","0.0-4.0-1.0-0.2","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","774713","0.0-4.0-1.0-1.2","1","0","j0e8e9kss88xvs2","","1373.8999999761581","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","775715","0.0-4.0-1.0-2.2","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","776516","0.0-4.0-1.0-0.3","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","777717","0.0-4.0-1.0-1.3","1","0","j0e8e9kss88xvs2","","1200.4000000357628","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","778719","0.0-4.0-1.0-2.3","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","779525","0.0-4.0-1.0-0.4","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","780785","0.0-4.0-1.0-1.4","1","0","j0e8e9kss88xvs2","","1259.5","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","781786","0.0-4.0-1.0-2.4","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","36","782591","0.0-4.0-1.0-0.5","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","37","783461","0.0-4.0-1.0-1.5","1","0","j0e8e9kss88xvs2","","869","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","784463","0.0-4.0-1.0-2.5","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","39","785263","0.0-4.0-1.0-0.6","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","40","786236","0.0-4.0-1.0-1.6","1","0","j0e8e9kss88xvs2","","972.0999999642372","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","787238","0.0-4.0-1.0-2.6","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","42","788042","0.0-4.0-1.0-0.7","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","43","788784","0.0-4.0-1.0-1.7","1","0","j0e8e9kss88xvs2","","741.4000000357628","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","789786","0.0-4.0-1.0-2.7","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","45","790591","0.0-4.0-1.0-0.8","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/left_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","46","791199","0.0-4.0-1.0-1.8","1","0","j0e8e9kss88xvs2","","606.3999999761581","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","792201","0.0-4.0-1.0-2.8","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","48","793002","0.0-4.0-1.0-0.9","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","49","793694","0.0-4.0-1.0-1.9","1","0","j0e8e9kss88xvs2","","691.6000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","794695","0.0-4.0-1.0-2.9","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","51","795498","0.0-4.0-1.0-0.10","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","52","796071","0.0-4.0-1.0-1.10","1","0","j0e8e9kss88xvs2","","571.6999999880791","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","53","797072","0.0-4.0-1.0-2.10","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","54","797876","0.0-4.0-1.0-0.11","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","55","798693","0.0-4.0-1.0-1.11","1","0","j0e8e9kss88xvs2","","815.8000000119209","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","56","799694","0.0-4.0-1.0-2.11","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","57","800500","0.0-4.0-1.0-0.12","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","58","801284","0.0-4.0-1.0-1.12","1","0","j0e8e9kss88xvs2","","783","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","59","802288","0.0-4.0-1.0-2.12","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","60","803093","0.0-4.0-1.0-0.13","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/left_rev/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","61","803743","0.0-4.0-1.0-1.13","1","0","j0e8e9kss88xvs2","","648.8999999761581","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","62","804744","0.0-4.0-1.0-2.13","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","63","805545","0.0-4.0-1.0-0.14","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/left_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","64","806326","0.0-4.0-1.0-1.14","1","0","j0e8e9kss88xvs2","","779.8999999761581","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","65","807327","0.0-4.0-1.0-2.14","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","66","808132","0.0-4.0-1.0-0.15","1","0","j0e8e9kss88xvs2","","null","","sounds/induction/left_rev/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","67","808894","0.0-4.0-1.0-1.15","1","0","j0e8e9kss88xvs2","","760.6000000238419","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","68","809897","0.0-4.0-1.0-2.15","1","0","j0e8e9kss88xvs2","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
