"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url"
"pavlovia","0","1","0.0-0.0","1","1","qo3sn4nlda78ffy","","",""
"instructions","1","4312","0.0-1.0","1","1","qo3sn4nlda78ffy","[{""page_index"":0,""viewing_time"":1687.0000000000018},{""page_index"":1,""viewing_time"":2615.999999999998}]","4310",""
"external-html","2","6782","0.0-2.0","1","1","qo3sn4nlda78ffy","","2467.999999999998","consent/consent.html"
