"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc"
"pavlovia","0","2","0.0-0.0","1","1","fopdsd92gxl7gea","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","179166","0.0-1.0","1","1","fopdsd92gxl7gea","[{""page_index"":0,""viewing_time"":6474},{""page_index"":1,""viewing_time"":172689}]","179167","","","","","","","","","","","","","","","","","","","",""
"external-html","2","209474","0.0-2.0","1","1","fopdsd92gxl7gea","","30195","consent/consent.html","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","242528","0.0-3.0-0.0-0.0","1","1","fopdsd92gxl7gea","","33052","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-button-response","4","251140","0.0-3.0-0.0-1.0","1","1","fopdsd92gxl7gea","","8360","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","",""
"audio-button-response","5","261768","0.0-3.0-0.0-2.0","1","1","fopdsd92gxl7gea","","9931","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","",""
"html-button-response","6","275759","0.0-3.0-1.0-0.0","1","1","fopdsd92gxl7gea","","13990","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","276514","0.0-3.0-1.0-1.0-0.0","1","1","fopdsd92gxl7gea","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","8","281539","0.0-3.0-1.0-1.0-1.0","1","1","fopdsd92gxl7gea","","5024","","audCalib/t3_2.mp3","1","","2","0","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","9","282294","0.0-3.0-1.0-1.0-0.1","1","1","fopdsd92gxl7gea","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","10","287196","0.0-3.0-1.0-1.0-1.1","1","1","fopdsd92gxl7gea","","4907","","audCalib/t1_2.mp3","2","","0","0","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","11","287950","0.0-3.0-1.0-1.0-0.2","1","1","fopdsd92gxl7gea","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","12","293476","0.0-3.0-1.0-1.0-1.2","1","1","fopdsd92gxl7gea","","5525","","audCalib/t1_1.mp3","1","","0","0","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","13","294229","0.0-3.0-1.0-1.0-0.3","1","1","fopdsd92gxl7gea","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","14","299605","0.0-3.0-1.0-1.0-1.3","1","1","fopdsd92gxl7gea","","5376","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","15","300359","0.0-3.0-1.0-1.0-0.4","1","1","fopdsd92gxl7gea","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","16","306356","0.0-3.0-1.0-1.0-1.4","1","1","fopdsd92gxl7gea","","5995","","audCalib/t2_2.mp3","0","","1","0","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","17","307109","0.0-3.0-1.0-1.0-0.5","1","1","fopdsd92gxl7gea","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","18","311649","0.0-3.0-1.0-1.0-1.5","1","1","fopdsd92gxl7gea","","4533","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","",""
"html-button-response","19","315109","0.0-3.0-2.0","1","1","fopdsd92gxl7gea","","3209","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","",""
"instructions","20","335444","0.0-4.0-0.0","1","1","fopdsd92gxl7gea","[{""page_index"":0,""viewing_time"":2334},{""page_index"":1,""viewing_time"":13596},{""page_index"":2,""viewing_time"":4405}]","20335","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","335750","0.0-4.0-1.0-0.0","1","1","fopdsd92gxl7gea","","null","","sounds/induction/left/pu_SWS.wav","","null","","","","","","","","","","","","","","","",""
"html-button-response","22","338459","0.0-4.0-1.0-1.0","1","1","fopdsd92gxl7gea","","2707.999999999942","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","",""
"html-keyboard-response","23","339461","0.0-4.0-1.0-2.0","1","1","fopdsd92gxl7gea","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","",""
