"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt"
"pavlovia","0","4","0.0-0.0","3","1","zeqx0z7nxhoh9gb","",""
"instructions","1","82602","0.0-1.0","3","1","zeqx0z7nxhoh9gb","[{""page_index"":0,""viewing_time"":4875.29999999702},{""page_index"":1,""viewing_time"":77724.70000000298}]","82603.89999999851"
