"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt"
"pavlovia","0","4","0.0-0.0","1","1","ou95jhmkvampwv4","",""
"instructions","1","9675","0.0-1.0","1","1","ou95jhmkvampwv4","[{""page_index"":0,""viewing_time"":3944.9000000059605},{""page_index"":1,""viewing_time"":5721.0999999940395}]","9669.79999999702"
