"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt"
"pavlovia","0","5","0.0-0.0","3","0","80gow4nemj2d3wm","",""
"instructions","1","666657","0.0-1.0","3","0","80gow4nemj2d3wm","[{""page_index"":0,""viewing_time"":402311.2000000477},{""page_index"":1,""viewing_time"":130334.5}]","532655.1000000238"
