"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","2","0.0-0.0","2","1","8qlpbftzze140mw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","27937","0.0-1.0","2","1","8qlpbftzze140mw","[{""page_index"":0,""viewing_time"":3515.800000011921},{""page_index"":1,""viewing_time"":24416.09999999404}]","27934.30000001192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","30050","0.0-2.0","2","1","8qlpbftzze140mw","","2092.699999988079","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","30937","0.0-3.0-0.0-0.0","2","1","8qlpbftzze140mw","","885.5999999940395","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","31870","0.0-3.0-0.0-1.0","2","1","8qlpbftzze140mw","","681.9000000059605","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","33569","0.0-3.0-0.0-2.0","2","1","8qlpbftzze140mw","","1392","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","34313","0.0-3.0-1.0-0.0","2","1","8qlpbftzze140mw","","743.0999999940395","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","35068","0.0-3.0-1.0-1.0-0.0","2","1","8qlpbftzze140mw","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","36923","0.0-3.0-1.0-1.0-1.0","2","1","8qlpbftzze140mw","","1856","","audCalib/t3_1.mp3","1","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","37678","0.0-3.0-1.0-1.0-0.1","2","1","8qlpbftzze140mw","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","38412","0.0-3.0-1.0-1.0-1.1","2","1","8qlpbftzze140mw","","736","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","39163","0.0-3.0-1.0-1.0-0.2","2","1","8qlpbftzze140mw","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","39551","0.0-3.0-1.0-1.0-1.2","2","1","8qlpbftzze140mw","","384","","audCalib/t1_2.mp3","1","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","40303","0.0-3.0-1.0-1.0-0.3","2","1","8qlpbftzze140mw","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","40680","0.0-3.0-1.0-1.0-1.3","2","1","8qlpbftzze140mw","","379","","audCalib/t3_2.mp3","1","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","41436","0.0-3.0-1.0-1.0-0.4","2","1","8qlpbftzze140mw","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","41842","0.0-3.0-1.0-1.0-1.4","2","1","8qlpbftzze140mw","","405","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","42599","0.0-3.0-1.0-1.0-0.5","2","1","8qlpbftzze140mw","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","43332","0.0-3.0-1.0-1.0-1.5","2","1","8qlpbftzze140mw","","731","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","44343","0.0-3.0-2.0","2","1","8qlpbftzze140mw","","758.8000000119209","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","46793","0.0-4.0-0.0","2","1","8qlpbftzze140mw","[{""page_index"":0,""viewing_time"":816.1000000238419},{""page_index"":1,""viewing_time"":871.8999999761581},{""page_index"":2,""viewing_time"":761.5}]","2449.800000011921","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","47099","0.0-4.0-1.0-0.0","2","1","8qlpbftzze140mw","","null","","sounds/induction/right/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","48359","0.0-4.0-1.0-1.0","2","1","8qlpbftzze140mw","","1258.4000000059605","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
