"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","4","0.0-0.0","3","0","jm9zsy8l03dovvk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","142824","0.0-1.0","3","0","jm9zsy8l03dovvk","[{""page_index"":0,""viewing_time"":10694.899999976158},{""page_index"":1,""viewing_time"":132118.10000002384}]","142814.89999997616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","171996","0.0-2.0","3","0","jm9zsy8l03dovvk","","28728.5","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","234772","0.0-3.0-0.0-0.0","3","0","jm9zsy8l03dovvk","","62770.60000002384","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","239528","0.0-3.0-0.0-1.0","3","0","jm9zsy8l03dovvk","","4499","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","260598","0.0-3.0-0.0-2.0","3","0","jm9zsy8l03dovvk","","20428","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","270108","0.0-3.0-1.0-0.0","3","0","jm9zsy8l03dovvk","","9508.299999952316","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","270867","0.0-3.0-1.0-1.0-0.0","3","0","jm9zsy8l03dovvk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","276793","0.0-3.0-1.0-1.0-1.0","3","0","jm9zsy8l03dovvk","","5927","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","277551","0.0-3.0-1.0-1.0-0.1","3","0","jm9zsy8l03dovvk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","293543","0.0-3.0-1.0-1.0-1.1","3","0","jm9zsy8l03dovvk","","15987","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","294301","0.0-3.0-1.0-1.0-0.2","3","0","jm9zsy8l03dovvk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","299135","0.0-3.0-1.0-1.0-1.2","3","0","jm9zsy8l03dovvk","","4830","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","299890","0.0-3.0-1.0-1.0-0.3","3","0","jm9zsy8l03dovvk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","305231","0.0-3.0-1.0-1.0-1.3","3","0","jm9zsy8l03dovvk","","5341","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","305989","0.0-3.0-1.0-1.0-0.4","3","0","jm9zsy8l03dovvk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","310988","0.0-3.0-1.0-1.0-1.4","3","0","jm9zsy8l03dovvk","","4998","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","311746","0.0-3.0-1.0-1.0-0.5","3","0","jm9zsy8l03dovvk","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","316329","0.0-3.0-1.0-1.0-1.5","3","0","jm9zsy8l03dovvk","","4580","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","319271","0.0-3.0-2.0","3","0","jm9zsy8l03dovvk","","2687.899999976158","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","341663","0.0-4.0-0.0","3","0","jm9zsy8l03dovvk","[{""page_index"":0,""viewing_time"":2061.600000023842},{""page_index"":1,""viewing_time"":16840.600000023842},{""page_index"":2,""viewing_time"":3488.6999999284744}]","22391","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","341962","0.0-4.0-1.0-0.0","3","0","jm9zsy8l03dovvk","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","343378","0.0-4.0-1.0-1.0","3","0","jm9zsy8l03dovvk","","1414.7000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","344381","0.0-4.0-1.0-2.0","3","0","jm9zsy8l03dovvk","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","345182","0.0-4.0-1.0-0.1","3","0","jm9zsy8l03dovvk","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","347279","0.0-4.0-1.0-1.1","3","0","jm9zsy8l03dovvk","","2095.2999999523163","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","348282","0.0-4.0-1.0-2.1","3","0","jm9zsy8l03dovvk","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","349092","0.0-4.0-1.0-0.2","3","0","jm9zsy8l03dovvk","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","350458","0.0-4.0-1.0-1.2","3","0","jm9zsy8l03dovvk","","1365.6000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","351461","0.0-4.0-1.0-2.2","3","0","jm9zsy8l03dovvk","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","352261","0.0-4.0-1.0-0.3","3","0","jm9zsy8l03dovvk","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","353566","0.0-4.0-1.0-1.3","3","0","jm9zsy8l03dovvk","","1303.6000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","354571","0.0-4.0-1.0-2.3","3","0","jm9zsy8l03dovvk","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","355376","0.0-4.0-1.0-0.4","3","0","jm9zsy8l03dovvk","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","356771","0.0-4.0-1.0-1.4","3","0","jm9zsy8l03dovvk","","1393.6999999284744","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","357774","0.0-4.0-1.0-2.4","3","0","jm9zsy8l03dovvk","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","36","358579","0.0-4.0-1.0-0.5","3","0","jm9zsy8l03dovvk","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","37","359550","0.0-4.0-1.0-1.5","3","0","jm9zsy8l03dovvk","","970.3000000715256","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","360551","0.0-4.0-1.0-2.5","3","0","jm9zsy8l03dovvk","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
