"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress"
"sentence-resp","197","2793030","0.0-5.0-1.0-1.5","2","1","q4qs86cjwweeet5","","12928","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""i would like a small cheesecake""}","We frown when events take a bad turn.","frown,events,take,bad,turn","I WOULD LIKE A SMALL CHEESECAKE","0","0","0","0","0","0","0","","","","",""
"html-keyboard-response","198","2794289","0.0-5.0-1.0-2.5","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","199","2796515","0.0-5.0-1.0-3.5","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/right/14_09_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","200","2797519","0.0-5.0-1.0-4.5","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","201","2798752","0.0-5.0-1.0-5.5","2","1","q4qs86cjwweeet5","","729.7999999821186","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","202","2801640","0.0-5.0-1.0-0.6","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/right/14_07_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"sentence-resp","203","2815066","0.0-5.0-1.0-1.6","2","1","q4qs86cjwweeet5","","13423","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""she walks by the sea""}","Write a fond note to the friend you cherish.","write,fond,note,friend,cherish","SHE WALKS BY THE SEA","0","0","0","0","0","0","0","","","","",""
"html-keyboard-response","204","2816321","0.0-5.0-1.0-2.6","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","205","2818707","0.0-5.0-1.0-3.6","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/right/14_07_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","206","2819708","0.0-5.0-1.0-4.6","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","207","2821510","0.0-5.0-1.0-5.6","2","1","q4qs86cjwweeet5","","1299.0999999940395","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","208","2824499","0.0-5.0-1.0-0.7","2","1","q4qs86cjwweeet5","","null","","sounds/sentences/left/14_05_cfSWS.wav","","null","","","","","","","","","","","","","","","","","","","","",""
"sentence-resp","209","2851105","0.0-5.0-1.0-1.7","2","1","q4qs86cjwweeet5","","26602","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""do you know what im saying""}","The glow deepened in the eyes of the sweet girl.","glow,deepened,eyes,sweet,girl","DO YOU KNOW WHAT IM SAYING","0","0","0","0","0","0","0","","","","",""
"html-keyboard-response","210","2852365","0.0-5.0-1.0-2.7","2","1","q4qs86cjwweeet5","","null","","","","null","","","","","","","","","","","","","","","","","","","","",""
