"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc"
"pavlovia","0","2","0.0-0.0","2","1","wph7dc65dl3vky9","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","83796","0.0-1.0","2","1","wph7dc65dl3vky9","[{""page_index"":0,""viewing_time"":28628},{""page_index"":1,""viewing_time"":55166.00000000003}]","83799","","","","","","","","","","","","","","","","","","","",""
"external-html","2","90071","0.0-2.0","2","1","wph7dc65dl3vky9","","6145","consent/consent.html","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","98945","0.0-3.0-0.0-0.0","2","1","wph7dc65dl3vky9","","8872","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-button-response","4","104435","0.0-3.0-0.0-1.0","2","1","wph7dc65dl3vky9","","5239","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","",""
"audio-button-response","5","119424","0.0-3.0-0.0-2.0","2","1","wph7dc65dl3vky9","","14336","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","",""
"html-button-response","6","127169","0.0-3.0-1.0-0.0","2","1","wph7dc65dl3vky9","","7744","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","127923","0.0-3.0-1.0-1.0-0.0","2","1","wph7dc65dl3vky9","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","8","135744","0.0-3.0-1.0-1.0-1.0","2","1","wph7dc65dl3vky9","","7819","","audCalib/t1_2.mp3","1","","0","0","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","9","136499","0.0-3.0-1.0-1.0-0.1","2","1","wph7dc65dl3vky9","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","10","141140","0.0-3.0-1.0-1.0-1.1","2","1","wph7dc65dl3vky9","","4640","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","11","141893","0.0-3.0-1.0-1.0-0.2","2","1","wph7dc65dl3vky9","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","12","146591","0.0-3.0-1.0-1.0-1.2","2","1","wph7dc65dl3vky9","","4704","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","13","147344","0.0-3.0-1.0-1.0-0.3","2","1","wph7dc65dl3vky9","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","14","151730","0.0-3.0-1.0-1.0-1.3","2","1","wph7dc65dl3vky9","","4384","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","",""
