"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","5","0.0-0.0","1","0","f2rl18god1nzyxj","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","4206","0.0-1.0","1","0","f2rl18god1nzyxj","[{""page_index"":0,""viewing_time"":2064},{""page_index"":1,""viewing_time"":2132}]","4201","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","6238","0.0-2.0","1","0","f2rl18god1nzyxj","","2028","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","7053","0.0-3.0-0.0-0.0","1","0","f2rl18god1nzyxj","","814","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","8136","0.0-3.0-0.0-1.0","1","0","f2rl18god1nzyxj","","830","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","9978","0.0-3.0-0.0-2.0","1","0","f2rl18god1nzyxj","","1467","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","10745","0.0-3.0-1.0-0.0","1","0","f2rl18god1nzyxj","","766","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","11499","0.0-3.0-1.0-1.0-0.0","1","0","f2rl18god1nzyxj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","15753","0.0-3.0-1.0-1.0-1.0","1","0","f2rl18god1nzyxj","","4253","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","16510","0.0-3.0-1.0-1.0-0.1","1","0","f2rl18god1nzyxj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","20133","0.0-3.0-1.0-1.0-1.1","1","0","f2rl18god1nzyxj","","3619","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","20886","0.0-3.0-1.0-1.0-0.2","1","0","f2rl18god1nzyxj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","24580","0.0-3.0-1.0-1.0-1.2","1","0","f2rl18god1nzyxj","","3691","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","25333","0.0-3.0-1.0-1.0-0.3","1","0","f2rl18god1nzyxj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","28281","0.0-3.0-1.0-1.0-1.3","1","0","f2rl18god1nzyxj","","2947","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","29035","0.0-3.0-1.0-1.0-0.4","1","0","f2rl18god1nzyxj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","33336","0.0-3.0-1.0-1.0-1.4","1","0","f2rl18god1nzyxj","","4299","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","34090","0.0-3.0-1.0-1.0-0.5","1","0","f2rl18god1nzyxj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","35615","0.0-3.0-1.0-1.0-1.5","1","0","f2rl18god1nzyxj","","1525","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","36802","0.0-3.0-2.0","1","0","f2rl18god1nzyxj","","934.0000000000073","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","40380","0.0-4.0-0.0","1","0","f2rl18god1nzyxj","[{""page_index"":0,""viewing_time"":781},{""page_index"":1,""viewing_time"":1301},{""page_index"":2,""viewing_time"":1494}]","3577","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","40681","0.0-4.0-1.0-0.0","1","0","f2rl18god1nzyxj","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","41858","0.0-4.0-1.0-1.0","1","0","f2rl18god1nzyxj","","1174.9999999999927","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","42860","0.0-4.0-1.0-2.0","1","0","f2rl18god1nzyxj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","43662","0.0-4.0-1.0-0.1","1","0","f2rl18god1nzyxj","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
