"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt"
"pavlovia","0","6","0.0-0.0","3","1","5k9bjpj2fcx6ucx","",""
"instructions","1","9378","0.0-1.0","3","1","5k9bjpj2fcx6ucx","[{""page_index"":0,""viewing_time"":5747.5},{""page_index"":1,""viewing_time"":3620}]","9371.900000095367"
