"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","syllable","syllable_type"
"audio-keyboard-response","21","103813","0.0-4.0-1.0-0.0","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","107391","0.0-4.0-1.0-1.0","2","0","4jmezqs5npk3znh","","3574.1999999284744","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","108398","0.0-4.0-1.0-2.0","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","109204","0.0-4.0-1.0-0.1","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","110377","0.0-4.0-1.0-1.1","2","0","4jmezqs5npk3znh","","1171.1000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","111381","0.0-4.0-1.0-2.1","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","112195","0.0-4.0-1.0-0.2","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","113247","0.0-4.0-1.0-1.2","2","0","4jmezqs5npk3znh","","1051.7999999523163","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","114252","0.0-4.0-1.0-2.2","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","115043","0.0-4.0-1.0-0.3","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ge_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","117098","0.0-4.0-1.0-1.3","2","0","4jmezqs5npk3znh","","2052.600000023842","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","118110","0.0-4.0-1.0-2.3","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","118922","0.0-4.0-1.0-0.4","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","119854","0.0-4.0-1.0-1.4","2","0","4jmezqs5npk3znh","","927.5","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","120860","0.0-4.0-1.0-2.4","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","36","121673","0.0-4.0-1.0-0.5","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","37","122388","0.0-4.0-1.0-1.5","2","0","4jmezqs5npk3znh","","714","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","123400","0.0-4.0-1.0-2.5","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","39","124203","0.0-4.0-1.0-0.6","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","40","124955","0.0-4.0-1.0-1.6","2","0","4jmezqs5npk3znh","","751.7000000476837","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","41","125968","0.0-4.0-1.0-2.6","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","42","126772","0.0-4.0-1.0-0.7","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","43","127382","0.0-4.0-1.0-1.7","2","0","4jmezqs5npk3znh","","607.7000000476837","","Was the sound coming from the left or the right?","1","","","0","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","128390","0.0-4.0-1.0-2.7","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","45","129203","0.0-4.0-1.0-0.8","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","46","129630","0.0-4.0-1.0-1.8","2","0","4jmezqs5npk3znh","","425.7000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","130637","0.0-4.0-1.0-2.8","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","48","131442","0.0-4.0-1.0-0.9","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","49","131945","0.0-4.0-1.0-1.9","2","0","4jmezqs5npk3znh","","501.2000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","132950","0.0-4.0-1.0-2.9","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","51","133763","0.0-4.0-1.0-0.10","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","52","134317","0.0-4.0-1.0-1.10","2","0","4jmezqs5npk3znh","","552.8999999761581","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","53","135330","0.0-4.0-1.0-2.10","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","54","136132","0.0-4.0-1.0-0.11","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","55","136657","0.0-4.0-1.0-1.11","2","0","4jmezqs5npk3znh","","523.1000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","56","137660","0.0-4.0-1.0-2.11","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","57","138472","0.0-4.0-1.0-0.12","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","58","139075","0.0-4.0-1.0-1.12","2","0","4jmezqs5npk3znh","","602.6000000238419","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","59","140080","0.0-4.0-1.0-2.12","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","60","140884","0.0-4.0-1.0-0.13","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","61","141359","0.0-4.0-1.0-1.13","2","0","4jmezqs5npk3znh","","473.7999999523163","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","62","142368","0.0-4.0-1.0-2.13","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","63","143163","0.0-4.0-1.0-0.14","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","64","143684","0.0-4.0-1.0-1.14","2","0","4jmezqs5npk3znh","","519.5999999046326","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","65","144699","0.0-4.0-1.0-2.14","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","66","145513","0.0-4.0-1.0-0.15","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","67","146017","0.0-4.0-1.0-1.15","2","0","4jmezqs5npk3znh","","502.7999999523163","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","68","147021","0.0-4.0-1.0-2.15","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","69","147832","0.0-4.0-1.0-0.16","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","70","148259","0.0-4.0-1.0-1.16","2","0","4jmezqs5npk3znh","","421.7000000476837","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","71","149270","0.0-4.0-1.0-2.16","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","72","150083","0.0-4.0-1.0-0.17","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","73","150563","0.0-4.0-1.0-1.17","2","0","4jmezqs5npk3znh","","478.60000002384186","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","74","151570","0.0-4.0-1.0-2.17","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","75","152373","0.0-4.0-1.0-0.18","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","76","152959","0.0-4.0-1.0-1.18","2","0","4jmezqs5npk3znh","","584.5999999046326","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","77","153973","0.0-4.0-1.0-2.18","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","78","154771","0.0-4.0-1.0-0.19","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","79","155257","0.0-4.0-1.0-1.19","2","0","4jmezqs5npk3znh","","484.60000002384186","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","80","156260","0.0-4.0-1.0-2.19","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","81","157072","0.0-4.0-1.0-0.20","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","82","157561","0.0-4.0-1.0-1.20","2","0","4jmezqs5npk3znh","","487","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","83","158570","0.0-4.0-1.0-2.20","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","84","159372","0.0-4.0-1.0-0.21","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","85","159919","0.0-4.0-1.0-1.21","2","0","4jmezqs5npk3znh","","546.3999999761581","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","86","160928","0.0-4.0-1.0-2.21","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","87","161723","0.0-4.0-1.0-0.22","2","0","4jmezqs5npk3znh","","null","","sounds/induction/left_rev/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","88","162218","0.0-4.0-1.0-1.22","2","0","4jmezqs5npk3znh","","493.89999997615814","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","89","163220","0.0-4.0-1.0-2.22","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","90","164034","0.0-4.0-1.0-0.23","2","0","4jmezqs5npk3znh","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","91","164466","0.0-4.0-1.0-1.23","2","0","4jmezqs5npk3znh","","430.7000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","92","165473","0.0-4.0-1.0-2.23","2","0","4jmezqs5npk3znh","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
