"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","2","0.0-0.0","2","0","q5zt6us26ozganm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","47978","0.0-1.0","2","0","q5zt6us26ozganm","[{""page_index"":0,""viewing_time"":20732.599999997765},{""page_index"":1,""viewing_time"":27241.5}]","47977.39999999851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","51290","0.0-2.0","2","0","q5zt6us26ozganm","","3185.099999997765","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","53080","0.0-3.0-0.0-0.0","2","0","q5zt6us26ozganm","","1787.5999999977648","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","54225","0.0-3.0-0.0-1.0","2","0","q5zt6us26ozganm","","892.4000000022352","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","55740","0.0-3.0-0.0-2.0","2","0","q5zt6us26ozganm","","1216","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","56861","0.0-3.0-1.0-0.0","2","0","q5zt6us26ozganm","","1119.2999999970198","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","57619","0.0-3.0-1.0-1.0-0.0","2","0","q5zt6us26ozganm","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","64393","0.0-3.0-1.0-1.0-1.0","2","0","q5zt6us26ozganm","","6773","","audCalib/t3_2.mp3","1","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","65155","0.0-3.0-1.0-1.0-0.1","2","0","q5zt6us26ozganm","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","70395","0.0-3.0-1.0-1.0-1.1","2","0","q5zt6us26ozganm","","5237","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","71150","0.0-3.0-1.0-1.0-0.2","2","0","q5zt6us26ozganm","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","75510","0.0-3.0-1.0-1.0-1.2","2","0","q5zt6us26ozganm","","4357","","audCalib/t2_2.mp3","2","","1","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","76269","0.0-3.0-1.0-1.0-0.3","2","0","q5zt6us26ozganm","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
