"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","syllable","syllable_type"
"audio-keyboard-response","432","1830034","0.0-8.0-2.0-2.31-0.31","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","433","1830336","0.0-8.0-2.0-2.31-1.31","2","1","hclvf56gxy2hvqh","","300.60000002384186","","<p>To replay the <u>TARGET SOUND</u>, press P.</p> When you are ready to begin, press SPACEBAR.","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","434","1845283","0.0-8.0-2.0-3.30","2","1","hclvf56gxy2hvqh","","null","","sounds/B/TD/RE_07_TD.mp3","","null","","","TD_SUMMARY","","","","","","","","","","","","","","","","","","","","","RE","","2400,7800,11400,13200","3","2400","7800","11400","13200","null","null","null","null","","1","",""
"html-button-response","435","1848189","0.0-8.0-2.0-0.31","2","1","hclvf56gxy2hvqh","","2904.2999999523163","","<p>Trial 32 of 36</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","TI","sounds/syllables/ti_SWS.wav","900,7200,9000,11700","1","","","","","","","","","","","",""
"html-keyboard-response","436","1849229","0.0-8.0-2.0-1.31","2","1","hclvf56gxy2hvqh","","1038.5999999046326","","","","80","","","","","","","","","","","","","","","","","","","","","","","","TI","","900,7200,9000,11700","1","","","","","","","","","","","",""
"audio-keyboard-response","437","1849533","0.0-8.0-2.0-2.32-0.32","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","438","1849768","0.0-8.0-2.0-2.32-1.32","2","1","hclvf56gxy2hvqh","","234.39999997615814","","<p>To replay the <u>TARGET SOUND</u>, press P.</p> When you are ready to begin, press SPACEBAR.","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","439","1864713","0.0-8.0-2.0-3.31","2","1","hclvf56gxy2hvqh","","null","","sounds/B/TD/TI_04_TD.mp3","","null","","","TD_SUMMARY","","","","","","","","","","","","","","","","","","","","","TI","","900,7200,9000,11700","1","900","7200","9000","11700","null","null","null","null","","1","",""
"html-button-response","440","1865617","0.0-8.0-2.0-0.32","2","1","hclvf56gxy2hvqh","","900.6000000238419","","<p>Trial 33 of 36</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","ME","sounds/syllables/me_SWS.wav","3900,5700,11100,12900","2","","","","","","","","","","","",""
"html-keyboard-response","441","1866327","0.0-8.0-2.0-1.32","2","1","hclvf56gxy2hvqh","","709.5","","","","80","","","","","","","","","","","","","","","","","","","","","","","","ME","","3900,5700,11100,12900","2","","","","","","","","","","","",""
"audio-keyboard-response","442","1866624","0.0-8.0-2.0-2.33-0.33","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","443","1866956","0.0-8.0-2.0-2.33-1.33","2","1","hclvf56gxy2hvqh","","330.89999997615814","","<p>To replay the <u>TARGET SOUND</u>, press P.</p> When you are ready to begin, press SPACEBAR.","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","444","1881904","0.0-8.0-2.0-3.32","2","1","hclvf56gxy2hvqh","","null","","sounds/B/TD/ME_02_TD.mp3","","null","","","TD_SUMMARY","","","","","","","","","","","","","","","","","","","","","ME","","3900,5700,11100,12900","2","3900","5700","11100","12900","null","null","null","null","","1","",""
"html-button-response","445","1883970","0.0-8.0-2.0-0.33","2","1","hclvf56gxy2hvqh","","2063","","<p>Trial 34 of 36</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","TI","sounds/syllables/ti_SWS.wav","1800,6300,10800,12600","1","","","","","","","","","","","",""
"html-keyboard-response","446","1885044","0.0-8.0-2.0-1.33","2","1","hclvf56gxy2hvqh","","1073.0999999046326","","","","80","","","","","","","","","","","","","","","","","","","","","","","","TI","","1800,6300,10800,12600","1","","","","","","","","","","","",""
"audio-keyboard-response","447","1885342","0.0-8.0-2.0-2.34-0.34","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","448","1885651","0.0-8.0-2.0-2.34-1.34","2","1","hclvf56gxy2hvqh","","307.7000000476837","","<p>To replay the <u>TARGET SOUND</u>, press P.</p> When you are ready to begin, press SPACEBAR.","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","449","1900603","0.0-8.0-2.0-3.33","2","1","hclvf56gxy2hvqh","","null","","sounds/B/TD/TI_01_TD.mp3","","null","","","TD_SUMMARY","","","","","","","","","","","","","","","","","","","","","TI","","1800,6300,10800,12600","1","1800","6300","10800","12600","null","null","null","null","","1","",""
"html-button-response","450","1908387","0.0-8.0-2.0-0.34","2","1","hclvf56gxy2hvqh","","7780.899999976158","","<p>Trial 35 of 36</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","NI","sounds/syllables/ni_SWS.wav","1200,7500,9300,12900","2","","","","","","","","","","","",""
"html-keyboard-response","451","1909603","0.0-8.0-2.0-1.34","2","1","hclvf56gxy2hvqh","","1213.6999999284744","","","","80","","","","","","","","","","","","","","","","","","","","","","","","NI","","1200,7500,9300,12900","2","","","","","","","","","","","",""
"audio-keyboard-response","452","1909904","0.0-8.0-2.0-2.35-0.35","2","1","hclvf56gxy2hvqh","","null","","sounds/syllables/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","453","1910120","0.0-8.0-2.0-2.35-1.35","2","1","hclvf56gxy2hvqh","","214.10000002384186","","<p>To replay the <u>TARGET SOUND</u>, press P.</p> When you are ready to begin, press SPACEBAR.","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
