"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","3","0.0-0.0","2","1","8pzu8v5pxltwot7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","113318","0.0-1.0","2","1","8pzu8v5pxltwot7","[{""page_index"":0,""viewing_time"":7016},{""page_index"":1,""viewing_time"":106294}]","113315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","240422","0.0-2.0","2","1","8pzu8v5pxltwot7","","126970","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","247792","0.0-3.0-0.0-0.0","2","1","8pzu8v5pxltwot7","","7368","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","254712","0.0-3.0-0.0-1.0","2","1","8pzu8v5pxltwot7","","6648","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","271044","0.0-3.0-0.0-2.0","2","1","8pzu8v5pxltwot7","","16069","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","283200","0.0-3.0-1.0-0.0","2","1","8pzu8v5pxltwot7","","12154","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","283965","0.0-3.0-1.0-1.0-0.0","2","1","8pzu8v5pxltwot7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","289100","0.0-3.0-1.0-1.0-1.0","2","1","8pzu8v5pxltwot7","","5131","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","289869","0.0-3.0-1.0-1.0-0.1","2","1","8pzu8v5pxltwot7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","294942","0.0-3.0-1.0-1.0-1.1","2","1","8pzu8v5pxltwot7","","5072","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","295715","0.0-3.0-1.0-1.0-0.2","2","1","8pzu8v5pxltwot7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","300278","0.0-3.0-1.0-1.0-1.2","2","1","8pzu8v5pxltwot7","","4560","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","301052","0.0-3.0-1.0-1.0-0.3","2","1","8pzu8v5pxltwot7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","305424","0.0-3.0-1.0-1.0-1.3","2","1","8pzu8v5pxltwot7","","4379","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","306199","0.0-3.0-1.0-1.0-0.4","2","1","8pzu8v5pxltwot7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","310558","0.0-3.0-1.0-1.0-1.4","2","1","8pzu8v5pxltwot7","","4360","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","311341","0.0-3.0-1.0-1.0-0.5","2","1","8pzu8v5pxltwot7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","315853","0.0-3.0-1.0-1.0-1.5","2","1","8pzu8v5pxltwot7","","4520","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","318110","0.0-3.0-2.0","2","1","8pzu8v5pxltwot7","","1988","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","339245","0.0-4.0-0.0","2","1","8pzu8v5pxltwot7","[{""page_index"":0,""viewing_time"":1606},{""page_index"":1,""viewing_time"":15489},{""page_index"":2,""viewing_time"":4040}]","21135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","339563","0.0-4.0-1.0-0.0","2","1","8pzu8v5pxltwot7","","null","","sounds/induction/right/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","343052","0.0-4.0-1.0-1.0","2","1","8pzu8v5pxltwot7","","3488","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","344065","0.0-4.0-1.0-2.0","2","1","8pzu8v5pxltwot7","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","344882","0.0-4.0-1.0-0.1","2","1","8pzu8v5pxltwot7","","null","","sounds/induction/left/ge_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","349049","0.0-4.0-1.0-1.1","2","1","8pzu8v5pxltwot7","","4167","","What sound did you hear?","0","","","0","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","350051","0.0-4.0-1.0-2.1","2","1","8pzu8v5pxltwot7","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","350882","0.0-4.0-1.0-0.2","2","1","8pzu8v5pxltwot7","","null","","sounds/induction/left/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","352628","0.0-4.0-1.0-1.2","2","1","8pzu8v5pxltwot7","","1745","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","353631","0.0-4.0-1.0-2.2","2","1","8pzu8v5pxltwot7","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","354443","0.0-4.0-1.0-0.3","2","1","8pzu8v5pxltwot7","","null","","sounds/induction/right/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
