"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","30","0.0-0.0","2","0","my96dwstkkkhxmz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","505176","0.0-1.0","2","0","my96dwstkkkhxmz","[{""page_index"":0,""viewing_time"":455805.89999997616},{""page_index"":1,""viewing_time"":49336.60000002384}]","505144.10000002384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","510888","0.0-2.0","2","0","my96dwstkkkhxmz","","5464.600000023842","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","590682","0.0-3.0-0.0-0.0","2","0","my96dwstkkkhxmz","","79791.39999997616","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","598375","0.0-3.0-0.0-1.0","2","0","my96dwstkkkhxmz","","7440.5","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","610584","0.0-3.0-0.0-2.0","2","0","my96dwstkkkhxmz","","11523","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","626287","0.0-3.0-1.0-0.0","2","0","my96dwstkkkhxmz","","15467.5","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","627044","0.0-3.0-1.0-1.0-0.0","2","0","my96dwstkkkhxmz","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","638888","0.0-3.0-1.0-1.0-1.0","2","0","my96dwstkkkhxmz","","11842","","audCalib/t1_2.mp3","2","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","639647","0.0-3.0-1.0-1.0-0.1","2","0","my96dwstkkkhxmz","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","647138","0.0-3.0-1.0-1.0-1.1","2","0","my96dwstkkkhxmz","","7488","","audCalib/t1_1.mp3","2","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","647896","0.0-3.0-1.0-1.0-0.2","2","0","my96dwstkkkhxmz","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","652406","0.0-3.0-1.0-1.0-1.2","2","0","my96dwstkkkhxmz","","4516","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","653161","0.0-3.0-1.0-1.0-0.3","2","0","my96dwstkkkhxmz","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","657665","0.0-3.0-1.0-1.0-1.3","2","0","my96dwstkkkhxmz","","4505","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","658421","0.0-3.0-1.0-1.0-0.4","2","0","my96dwstkkkhxmz","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","664376","0.0-3.0-1.0-1.0-1.4","2","0","my96dwstkkkhxmz","","5956","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","665132","0.0-3.0-1.0-1.0-0.5","2","0","my96dwstkkkhxmz","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","669465","0.0-3.0-1.0-1.0-1.5","2","0","my96dwstkkkhxmz","","4336","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","671862","0.0-3.0-2.0","2","0","my96dwstkkkhxmz","","2143.1999999284744","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","714851","0.0-4.0-0.0","2","0","my96dwstkkkhxmz","[{""page_index"":0,""viewing_time"":1851.3999999761581},{""page_index"":1,""viewing_time"":37047.200000047684},{""page_index"":2,""viewing_time"":4088.899999976158}]","42987.699999928474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","715572","0.0-4.0-1.0-0.0","2","0","my96dwstkkkhxmz","","null","","sounds/induction/left_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","717622","0.0-4.0-1.0-1.0","2","0","my96dwstkkkhxmz","","2047.4000000953674","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","718626","0.0-4.0-1.0-2.0","2","0","my96dwstkkkhxmz","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","719429","0.0-4.0-1.0-0.1","2","0","my96dwstkkkhxmz","","null","","sounds/induction/left_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","720645","0.0-4.0-1.0-1.1","2","0","my96dwstkkkhxmz","","1214.7999999523163","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","721647","0.0-4.0-1.0-2.1","2","0","my96dwstkkkhxmz","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","722447","0.0-4.0-1.0-0.2","2","0","my96dwstkkkhxmz","","null","","sounds/induction/right_rev/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","723612","0.0-4.0-1.0-1.2","2","0","my96dwstkkkhxmz","","1164.2000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","724619","0.0-4.0-1.0-2.2","2","0","my96dwstkkkhxmz","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
