"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt"
"pavlovia","0","8","0.0-0.0","1","0","j2jvlb8fya2ha77","",""
"instructions","1","177475","0.0-1.0","1","0","j2jvlb8fya2ha77","[{""page_index"":0,""viewing_time"":20991.80000001192},{""page_index"":1,""viewing_time"":156467.09999999404}]","177465.20000001788"
