"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"pavlovia","0","10","0.0-0.0","3","0","ttsu4m196wt7g81","","","","","","","","","","",""
"instructions","1","29340","0.0-1.0","3","0","ttsu4m196wt7g81","[{""page_index"":0,""viewing_time"":1173},{""page_index"":1,""viewing_time"":28152}]","29330","","","","","","","","",""
"external-html","2","33553","0.0-2.0","3","0","ttsu4m196wt7g81","","4057","consent/consent.html","","","","","","","",""
"html-button-response","3","38838","0.0-3.0-0.0-0.0","3","0","ttsu4m196wt7g81","","5281.999999999993","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","",""
"html-button-response","4","42125","0.0-3.0-0.0-1.0","3","0","ttsu4m196wt7g81","","3034.0000000000073","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","",""
"audio-button-response","5","46617","0.0-3.0-0.0-2.0","3","0","ttsu4m196wt7g81","","4144","","audCalib/volumetest.mp3","0","","","","","",""
"html-button-response","6","56810","0.0-3.0-1.0-0.0","3","0","ttsu4m196wt7g81","","10190.999999999993","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","",""
"html-keyboard-response","7","57564","0.0-3.0-1.0-1.0-0.0","3","0","ttsu4m196wt7g81","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","8","65098","0.0-3.0-1.0-1.0-1.0","3","0","ttsu4m196wt7g81","","7531","","audCalib/t1_2.mp3","0","","0","1","headphone-test","",""
"html-keyboard-response","9","65851","0.0-3.0-1.0-1.0-0.1","3","0","ttsu4m196wt7g81","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","10","70349","0.0-3.0-1.0-1.0-1.1","3","0","ttsu4m196wt7g81","","4493","","audCalib/t2_2.mp3","1","","1","1","headphone-test","",""
