"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","3","0.0-0.0","2","1","jz6uvnjflqeuyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","11708","0.0-1.0","2","1","jz6uvnjflqeuyme","[{""page_index"":0,""viewing_time"":2056.600000023842},{""page_index"":1,""viewing_time"":9643.600000023842}]","11704.300000071526","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","15496","0.0-2.0","2","1","jz6uvnjflqeuyme","","3667.5","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","37488","0.0-3.0-0.0-0.0","2","1","jz6uvnjflqeuyme","","21988.699999928474","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","42486","0.0-3.0-0.0-1.0","2","1","jz6uvnjflqeuyme","","4745.200000047684","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","48333","0.0-3.0-0.0-2.0","2","1","jz6uvnjflqeuyme","","5072","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","54189","0.0-3.0-1.0-0.0","2","1","jz6uvnjflqeuyme","","5853.700000047684","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","54950","0.0-3.0-1.0-1.0-0.0","2","1","jz6uvnjflqeuyme","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","59208","0.0-3.0-1.0-1.0-1.0","2","1","jz6uvnjflqeuyme","","4251","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","59968","0.0-3.0-1.0-1.0-0.1","2","1","jz6uvnjflqeuyme","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","64143","0.0-3.0-1.0-1.0-1.1","2","1","jz6uvnjflqeuyme","","4171","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","64901","0.0-3.0-1.0-1.0-0.2","2","1","jz6uvnjflqeuyme","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","69202","0.0-3.0-1.0-1.0-1.2","2","1","jz6uvnjflqeuyme","","4299","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","69962","0.0-3.0-1.0-1.0-0.3","2","1","jz6uvnjflqeuyme","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","74199","0.0-3.0-1.0-1.0-1.3","2","1","jz6uvnjflqeuyme","","4235","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","74959","0.0-3.0-1.0-1.0-0.4","2","1","jz6uvnjflqeuyme","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","78866","0.0-3.0-1.0-1.0-1.4","2","1","jz6uvnjflqeuyme","","3904","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","79626","0.0-3.0-1.0-1.0-0.5","2","1","jz6uvnjflqeuyme","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","83860","0.0-3.0-1.0-1.0-1.5","2","1","jz6uvnjflqeuyme","","4229","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","85498","0.0-3.0-2.0","2","1","jz6uvnjflqeuyme","","1384.4000000953674","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","99462","0.0-4.0-0.0","2","1","jz6uvnjflqeuyme","[{""page_index"":0,""viewing_time"":936.2000000476837},{""page_index"":1,""viewing_time"":11749.399999976158},{""page_index"":2,""viewing_time"":1276.7999999523163}]","13963.700000047684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","99770","0.0-4.0-1.0-0.0","2","1","jz6uvnjflqeuyme","","null","","sounds/induction/right/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","102345","0.0-4.0-1.0-1.0","2","1","jz6uvnjflqeuyme","","2572.2999999523163","","What sound did you hear?","0","","","1","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","103349","0.0-4.0-1.0-2.0","2","1","jz6uvnjflqeuyme","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","104153","0.0-4.0-1.0-0.1","2","1","jz6uvnjflqeuyme","","null","","sounds/induction/left/ge_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","109722","0.0-4.0-1.0-1.1","2","1","jz6uvnjflqeuyme","","5567.599999904633","","What sound did you hear?","0","","","0","INDUCTION-JUDGMENT","left","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","110730","0.0-4.0-1.0-2.1","2","1","jz6uvnjflqeuyme","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","111540","0.0-4.0-1.0-0.2","2","1","jz6uvnjflqeuyme","","null","","sounds/induction/right/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","114542","0.0-4.0-1.0-1.2","2","1","jz6uvnjflqeuyme","","2999.2999999523163","","What sound did you hear?","1","","","0","INDUCTION-JUDGMENT","right","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","115546","0.0-4.0-1.0-2.2","2","1","jz6uvnjflqeuyme","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","116356","0.0-4.0-1.0-0.3","2","1","jz6uvnjflqeuyme","","null","","sounds/induction/left/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","118309","0.0-4.0-1.0-1.3","2","1","jz6uvnjflqeuyme","","1951.1000000238419","","What sound did you hear?","1","","","0","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","119312","0.0-4.0-1.0-2.3","2","1","jz6uvnjflqeuyme","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","120121","0.0-4.0-1.0-0.4","2","1","jz6uvnjflqeuyme","","null","","sounds/induction/right/ti_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","121508","0.0-4.0-1.0-1.4","2","1","jz6uvnjflqeuyme","","1385.3000000715256","","What sound did you hear?","0","","","0","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","122512","0.0-4.0-1.0-2.4","2","1","jz6uvnjflqeuyme","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","36","123321","0.0-4.0-1.0-0.5","2","1","jz6uvnjflqeuyme","","null","","sounds/induction/right/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","37","125108","0.0-4.0-1.0-1.5","2","1","jz6uvnjflqeuyme","","1785.5","","What sound did you hear?","0","","","0","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","126112","0.0-4.0-1.0-2.5","2","1","jz6uvnjflqeuyme","","null","","<p style=""color:red;""><b>Incorrect!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
