"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress"
"pavlovia","0","1","0.0-0.0","1","1","0ccoltklbhxelno","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","14290","0.0-1.0","1","1","0ccoltklbhxelno","[{""page_index"":0,""viewing_time"":11757},{""page_index"":1,""viewing_time"":2530}]","14289","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","16667","0.0-2.0","1","1","0ccoltklbhxelno","","2374.0000000000146","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","18468","0.0-3.0-0.0-0.0","1","1","0ccoltklbhxelno","","1800","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","19835","0.0-3.0-0.0-1.0","1","1","0ccoltklbhxelno","","1115","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","21484","0.0-3.0-0.0-2.0","1","1","0ccoltklbhxelno","","875","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","22340","0.0-3.0-1.0-0.0","1","1","0ccoltklbhxelno","","853.9999999999854","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","23094","0.0-3.0-1.0-1.0-0.0","1","1","0ccoltklbhxelno","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","27210","0.0-3.0-1.0-1.0-1.0","1","1","0ccoltklbhxelno","","4107","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","27965","0.0-3.0-1.0-1.0-0.1","1","1","0ccoltklbhxelno","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","32158","0.0-3.0-1.0-1.0-1.1","1","1","0ccoltklbhxelno","","4192","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","32912","0.0-3.0-1.0-1.0-0.2","1","1","0ccoltklbhxelno","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","",""
