"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc"
"pavlovia","0","4","0.0-0.0","1","1","2j59k9r7vd8ebn5","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","45418","0.0-1.0","1","1","2j59k9r7vd8ebn5","[{""page_index"":0,""viewing_time"":17575.000000000004},{""page_index"":1,""viewing_time"":27827.999999999996}]","45416","","","","","","","","","","","","","","","","","","","",""
"external-html","2","51451","0.0-2.0","1","1","2j59k9r7vd8ebn5","","5908","consent/consent.html","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","57420","0.0-3.0-0.0-0.0","1","1","2j59k9r7vd8ebn5","","5966.000000000007","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-button-response","4","62311","0.0-3.0-0.0-1.0","1","1","2j59k9r7vd8ebn5","","4638.999999999993","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","",""
"audio-button-response","5","77749","0.0-3.0-0.0-2.0","1","1","2j59k9r7vd8ebn5","","15117","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","",""
"html-button-response","6","100272","0.0-3.0-1.0-0.0","1","1","2j59k9r7vd8ebn5","","22524","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","101024","0.0-3.0-1.0-1.0-0.0","1","1","2j59k9r7vd8ebn5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","8","106419","0.0-3.0-1.0-1.0-1.0","1","1","2j59k9r7vd8ebn5","","5395","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","9","107172","0.0-3.0-1.0-1.0-0.1","1","1","2j59k9r7vd8ebn5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","10","111812","0.0-3.0-1.0-1.0-1.1","1","1","2j59k9r7vd8ebn5","","4637","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","11","112565","0.0-3.0-1.0-1.0-0.2","1","1","2j59k9r7vd8ebn5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","12","117900","0.0-3.0-1.0-1.0-1.2","1","1","2j59k9r7vd8ebn5","","5333","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","13","118653","0.0-3.0-1.0-1.0-0.3","1","1","2j59k9r7vd8ebn5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","14","124025","0.0-3.0-1.0-1.0-1.3","1","1","2j59k9r7vd8ebn5","","5371","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","15","124778","0.0-3.0-1.0-1.0-0.4","1","1","2j59k9r7vd8ebn5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","16","129905","0.0-3.0-1.0-1.0-1.4","1","1","2j59k9r7vd8ebn5","","5125","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","",""
"html-keyboard-response","17","130657","0.0-3.0-1.0-1.0-0.5","1","1","2j59k9r7vd8ebn5","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","",""
"audio-button-response","18","135421","0.0-3.0-1.0-1.0-1.5","1","1","2j59k9r7vd8ebn5","","4763","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","",""
"html-button-response","19","137744","0.0-3.0-2.0","1","1","2j59k9r7vd8ebn5","","2071","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","",""
"instructions","20","151215","0.0-4.0-0.0","1","1","2j59k9r7vd8ebn5","[{""page_index"":0,""viewing_time"":2256},{""page_index"":1,""viewing_time"":8975},{""page_index"":2,""viewing_time"":2241}]","13472","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","151516","0.0-4.0-1.0-0.0","1","1","2j59k9r7vd8ebn5","","null","","sounds/induction/left/fe_SWS.wav","","null","","","","","","","","","","","","","","","",""
"html-button-response","22","154442","0.0-4.0-1.0-1.0","1","1","2j59k9r7vd8ebn5","","2925.999999999971","","What sound did you hear?","1","","","1","INDUCTION-JUDGMENT","left","1","","","","","","","","","","",""
"html-keyboard-response","23","155443","0.0-4.0-1.0-2.0","1","1","2j59k9r7vd8ebn5","","null","","<p style=""color:green;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","",""
