"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","3","0.0-0.0","3","0","n6snaq4jc4j5x5g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","174114","0.0-1.0","3","0","n6snaq4jc4j5x5g","[{""page_index"":0,""viewing_time"":61741.699999928474},{""page_index"":1,""viewing_time"":112366}]","174113.29999995232","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","327393","0.0-2.0","3","0","n6snaq4jc4j5x5g","","153066.30000007153","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","401934","0.0-3.0-0.0-0.0","3","0","n6snaq4jc4j5x5g","","74503","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","406476","0.0-3.0-0.0-1.0","3","0","n6snaq4jc4j5x5g","","4283.399999976158","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","436739","0.0-3.0-0.0-2.0","3","0","n6snaq4jc4j5x5g","","null","","audCalib/volumetest.mp3","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","454323","0.0-3.0-1.0-0.0","3","0","n6snaq4jc4j5x5g","","17582.799999952316","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","455081","0.0-3.0-1.0-1.0-0.0","3","0","n6snaq4jc4j5x5g","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","462454","0.0-3.0-1.0-1.0-1.0","3","0","n6snaq4jc4j5x5g","","7365","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","463210","0.0-3.0-1.0-1.0-0.1","3","0","n6snaq4jc4j5x5g","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","469597","0.0-3.0-1.0-1.0-1.1","3","0","n6snaq4jc4j5x5g","","6389","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","470353","0.0-3.0-1.0-1.0-0.2","3","0","n6snaq4jc4j5x5g","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","476587","0.0-3.0-1.0-1.0-1.2","3","0","n6snaq4jc4j5x5g","","6229","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","477340","0.0-3.0-1.0-1.0-0.3","3","0","n6snaq4jc4j5x5g","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","483138","0.0-3.0-1.0-1.0-1.3","3","0","n6snaq4jc4j5x5g","","5797","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","483894","0.0-3.0-1.0-1.0-0.4","3","0","n6snaq4jc4j5x5g","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","489864","0.0-3.0-1.0-1.0-1.4","3","0","n6snaq4jc4j5x5g","","5968","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","490620","0.0-3.0-1.0-1.0-0.5","3","0","n6snaq4jc4j5x5g","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","497332","0.0-3.0-1.0-1.0-1.5","3","0","n6snaq4jc4j5x5g","","6709","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","507598","0.0-3.0-2.0","3","0","n6snaq4jc4j5x5g","","10013.200000047684","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","528965","0.0-4.0-0.0","3","0","n6snaq4jc4j5x5g","[{""page_index"":0,""viewing_time"":1624},{""page_index"":1,""viewing_time"":17313},{""page_index"":2,""viewing_time"":2429}]","21366.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","529312","0.0-4.0-1.0-0.0","3","0","n6snaq4jc4j5x5g","","null","","sounds/induction/left_rev/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","530840","0.0-4.0-1.0-1.0","3","0","n6snaq4jc4j5x5g","","1526.1999999284744","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","531843","0.0-4.0-1.0-2.0","3","0","n6snaq4jc4j5x5g","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","532645","0.0-4.0-1.0-0.1","3","0","n6snaq4jc4j5x5g","","null","","sounds/induction/right_rev/ta_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","533480","0.0-4.0-1.0-1.1","3","0","n6snaq4jc4j5x5g","","833.5999999046326","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","534482","0.0-4.0-1.0-2.1","3","0","n6snaq4jc4j5x5g","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","535284","0.0-4.0-1.0-0.2","3","0","n6snaq4jc4j5x5g","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","536055","0.0-4.0-1.0-1.2","3","0","n6snaq4jc4j5x5g","","769.1999999284744","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","537058","0.0-4.0-1.0-2.2","3","0","n6snaq4jc4j5x5g","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","537866","0.0-4.0-1.0-0.3","3","0","n6snaq4jc4j5x5g","","null","","sounds/induction/right_rev/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","538421","0.0-4.0-1.0-1.3","3","0","n6snaq4jc4j5x5g","","553.2000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","539423","0.0-4.0-1.0-2.3","3","0","n6snaq4jc4j5x5g","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","540228","0.0-4.0-1.0-0.4","3","0","n6snaq4jc4j5x5g","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","540810","0.0-4.0-1.0-1.4","3","0","n6snaq4jc4j5x5g","","579.1999999284744","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","541813","0.0-4.0-1.0-2.4","3","0","n6snaq4jc4j5x5g","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
