"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"pavlovia","0","3","0.0-0.0","1","0","3cb8yxttn58sqtn","","","","","","","","","","",""
"instructions","1","5642","0.0-1.0","1","0","3cb8yxttn58sqtn","[{""page_index"":0,""viewing_time"":2735.1999999284744},{""page_index"":1,""viewing_time"":2899}]","5638.199999928474","","","","","","","","",""
"external-html","2","9418","0.0-2.0","1","0","3cb8yxttn58sqtn","","3761.4000000953674","consent/consent.html","","","","","","","",""
"html-button-response","3","10341","0.0-3.0-0.0-0.0","1","0","3cb8yxttn58sqtn","","921.3000000715256","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","",""
"html-button-response","4","11548","0.0-3.0-0.0-1.0","1","0","3cb8yxttn58sqtn","","954.2999999523163","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","",""
"audio-button-response","5","12930","0.0-3.0-0.0-2.0","1","0","3cb8yxttn58sqtn","","1120","","audCalib/volumetest.mp3","0","","","","","",""
"html-button-response","6","14608","0.0-3.0-1.0-0.0","1","0","3cb8yxttn58sqtn","","1677.7999999523163","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","",""
"html-keyboard-response","7","15376","0.0-3.0-1.0-1.0-0.0","1","0","3cb8yxttn58sqtn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","8","19747","0.0-3.0-1.0-1.0-1.0","1","0","3cb8yxttn58sqtn","","4371","","audCalib/t2_2.mp3","1","","1","1","headphone-test","",""
"html-keyboard-response","9","20500","0.0-3.0-1.0-1.0-0.1","1","0","3cb8yxttn58sqtn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","10","24869","0.0-3.0-1.0-1.0-1.1","1","0","3cb8yxttn58sqtn","","4360","","audCalib/t3_1.mp3","2","","2","1","headphone-test","",""
"html-keyboard-response","11","25631","0.0-3.0-1.0-1.0-0.2","1","0","3cb8yxttn58sqtn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","12","30067","0.0-3.0-1.0-1.0-1.2","1","0","3cb8yxttn58sqtn","","4429","","audCalib/t1_2.mp3","0","","0","1","headphone-test","",""
"html-keyboard-response","13","30821","0.0-3.0-1.0-1.0-0.3","1","0","3cb8yxttn58sqtn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","14","35152","0.0-3.0-1.0-1.0-1.3","1","0","3cb8yxttn58sqtn","","4331","","audCalib/t3_2.mp3","2","","2","1","headphone-test","",""
"html-keyboard-response","15","35906","0.0-3.0-1.0-1.0-0.4","1","0","3cb8yxttn58sqtn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","16","40305","0.0-3.0-1.0-1.0-1.4","1","0","3cb8yxttn58sqtn","","4400","","audCalib/t1_1.mp3","0","","0","1","headphone-test","",""
"html-keyboard-response","17","41060","0.0-3.0-1.0-1.0-0.5","1","0","3cb8yxttn58sqtn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","18","45453","0.0-3.0-1.0-1.0-1.5","1","0","3cb8yxttn58sqtn","","4389","","audCalib/t2_1.mp3","1","","1","1","headphone-test","",""
"html-button-response","19","46713","0.0-3.0-2.0","1","0","3cb8yxttn58sqtn","","1007","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","",""
"instructions","20","49320","0.0-4.0-0.0","1","0","3cb8yxttn58sqtn","[{""page_index"":0,""viewing_time"":765.1000000238419},{""page_index"":1,""viewing_time"":998.1999999284744},{""page_index"":2,""viewing_time"":843.4000000953674}]","2607.100000023842","","","","","","","","",""
"audio-keyboard-response","21","49631","0.0-4.0-1.0-0.0","1","0","3cb8yxttn58sqtn","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","22","51618","0.0-4.0-1.0-1.0","1","0","3cb8yxttn58sqtn","","1983.8999999761581","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","23","52620","0.0-4.0-1.0-2.0","1","0","3cb8yxttn58sqtn","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","24","53429","0.0-4.0-1.0-0.1","1","0","3cb8yxttn58sqtn","","null","","sounds/induction/left_rev/su_SWS.wav","","null","","","","",""
"html-button-response","25","54400","0.0-4.0-1.0-1.1","1","0","3cb8yxttn58sqtn","","969.8999999761581","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","26","55409","0.0-4.0-1.0-2.1","1","0","3cb8yxttn58sqtn","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","27","56229","0.0-4.0-1.0-0.2","1","0","3cb8yxttn58sqtn","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","28","57034","0.0-4.0-1.0-1.2","1","0","3cb8yxttn58sqtn","","804.2999999523163","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","29","58036","0.0-4.0-1.0-2.2","1","0","3cb8yxttn58sqtn","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
