"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","6","0.0-0.0","2","0","s6jqvxfltgxtf9c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","170666","0.0-1.0","2","0","s6jqvxfltgxtf9c","[{""page_index"":0,""viewing_time"":32836.09999999404},{""page_index"":1,""viewing_time"":137818.29999999702}]","170659.59999999404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","190923","0.0-2.0","2","0","s6jqvxfltgxtf9c","","19898.80000001192","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","197273","0.0-3.0-0.0-0.0","2","0","s6jqvxfltgxtf9c","","6347","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","202099","0.0-3.0-0.0-1.0","2","0","s6jqvxfltgxtf9c","","4574.79999999702","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","210005","0.0-3.0-0.0-2.0","2","0","s6jqvxfltgxtf9c","","7019","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","236215","0.0-3.0-1.0-0.0","2","0","s6jqvxfltgxtf9c","","26208.10000000894","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","236975","0.0-3.0-1.0-1.0-0.0","2","0","s6jqvxfltgxtf9c","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","242146","0.0-3.0-1.0-1.0-1.0","2","0","s6jqvxfltgxtf9c","","5160","","audCalib/t1_2.mp3","2","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","242905","0.0-3.0-1.0-1.0-0.1","2","0","s6jqvxfltgxtf9c","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","250281","0.0-3.0-1.0-1.0-1.1","2","0","s6jqvxfltgxtf9c","","7371","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","251043","0.0-3.0-1.0-1.0-0.2","2","0","s6jqvxfltgxtf9c","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","258465","0.0-3.0-1.0-1.0-1.2","2","0","s6jqvxfltgxtf9c","","7421","","audCalib/t2_1.mp3","0","","1","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","259245","0.0-3.0-1.0-1.0-0.3","2","0","s6jqvxfltgxtf9c","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","264431","0.0-3.0-1.0-1.0-1.3","2","0","s6jqvxfltgxtf9c","","5179","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","265198","0.0-3.0-1.0-1.0-0.4","2","0","s6jqvxfltgxtf9c","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","269805","0.0-3.0-1.0-1.0-1.4","2","0","s6jqvxfltgxtf9c","","4600","","audCalib/t3_2.mp3","0","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","270574","0.0-3.0-1.0-1.0-0.5","2","0","s6jqvxfltgxtf9c","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","278516","0.0-3.0-1.0-1.0-1.5","2","0","s6jqvxfltgxtf9c","","7928","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","281205","0.0-3.0-2.0","2","0","s6jqvxfltgxtf9c","","2430.0999999940395","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","308918","0.0-4.0-0.0","2","0","s6jqvxfltgxtf9c","[{""page_index"":0,""viewing_time"":1708.3999999910593},{""page_index"":1,""viewing_time"":23334.10000000894},{""page_index"":2,""viewing_time"":2669.7999999970198}]","27712.69999998808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","309218","0.0-4.0-1.0-0.0","2","0","s6jqvxfltgxtf9c","","null","","sounds/induction/left_rev/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","311170","0.0-4.0-1.0-1.0","2","0","s6jqvxfltgxtf9c","","1951.2000000029802","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","312171","0.0-4.0-1.0-2.0","2","0","s6jqvxfltgxtf9c","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","312980","0.0-4.0-1.0-0.1","2","0","s6jqvxfltgxtf9c","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","313949","0.0-4.0-1.0-1.1","2","0","s6jqvxfltgxtf9c","","967.8999999910593","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","314957","0.0-4.0-1.0-2.1","2","0","s6jqvxfltgxtf9c","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","315750","0.0-4.0-1.0-0.2","2","0","s6jqvxfltgxtf9c","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","316565","0.0-4.0-1.0-1.2","2","0","s6jqvxfltgxtf9c","","813.5","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","317566","0.0-4.0-1.0-2.2","2","0","s6jqvxfltgxtf9c","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","30","318360","0.0-4.0-1.0-0.3","2","0","s6jqvxfltgxtf9c","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","31","319255","0.0-4.0-1.0-1.3","2","0","s6jqvxfltgxtf9c","","894.2000000029802","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","320267","0.0-4.0-1.0-2.3","2","0","s6jqvxfltgxtf9c","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","33","321080","0.0-4.0-1.0-0.4","2","0","s6jqvxfltgxtf9c","","null","","sounds/induction/right_rev/fu_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","34","322740","0.0-4.0-1.0-1.4","2","0","s6jqvxfltgxtf9c","","1659.2000000029802","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","323752","0.0-4.0-1.0-2.4","2","0","s6jqvxfltgxtf9c","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","36","324560","0.0-4.0-1.0-0.5","2","0","s6jqvxfltgxtf9c","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
