"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"pavlovia","0","2","0.0-0.0","3","0","zehxjkta7utjabj","","","","","","","","","","",""
"instructions","1","37404","0.0-1.0","3","0","zehxjkta7utjabj","[{""page_index"":0,""viewing_time"":1471},{""page_index"":1,""viewing_time"":35927}]","37402","","","","","","","","",""
"external-html","2","42308","0.0-2.0","3","0","zehxjkta7utjabj","","4282","consent/consent.html","","","","","","","",""
"html-button-response","3","47185","0.0-3.0-0.0-0.0","3","0","zehxjkta7utjabj","","4876","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","",""
"html-button-response","4","52054","0.0-3.0-0.0-1.0","3","0","zehxjkta7utjabj","","4617","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","",""
"audio-button-response","5","57643","0.0-3.0-0.0-2.0","3","0","zehxjkta7utjabj","","4821","","audCalib/volumetest.mp3","0","","","","","",""
"html-button-response","6","65020","0.0-3.0-1.0-0.0","3","0","zehxjkta7utjabj","","7375.999999999985","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","",""
"html-keyboard-response","7","65774","0.0-3.0-1.0-1.0-0.0","3","0","zehxjkta7utjabj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","8","70317","0.0-3.0-1.0-1.0-1.0","3","0","zehxjkta7utjabj","","4544","","audCalib/t1_1.mp3","0","","0","1","headphone-test","",""
"html-keyboard-response","9","71071","0.0-3.0-1.0-1.0-0.1","3","0","zehxjkta7utjabj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","10","75411","0.0-3.0-1.0-1.0-1.1","3","0","zehxjkta7utjabj","","4341","","audCalib/t3_2.mp3","2","","2","1","headphone-test","",""
"html-keyboard-response","11","76164","0.0-3.0-1.0-1.0-0.2","3","0","zehxjkta7utjabj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","12","80945","0.0-3.0-1.0-1.0-1.2","3","0","zehxjkta7utjabj","","4779","","audCalib/t3_1.mp3","2","","2","1","headphone-test","",""
"html-keyboard-response","13","81697","0.0-3.0-1.0-1.0-0.3","3","0","zehxjkta7utjabj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","14","85993","0.0-3.0-1.0-1.0-1.3","3","0","zehxjkta7utjabj","","4288","","audCalib/t2_1.mp3","1","","1","1","headphone-test","",""
"html-keyboard-response","15","86746","0.0-3.0-1.0-1.0-0.4","3","0","zehxjkta7utjabj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","16","91155","0.0-3.0-1.0-1.0-1.4","3","0","zehxjkta7utjabj","","4405","","audCalib/t1_2.mp3","0","","0","1","headphone-test","",""
"html-keyboard-response","17","91908","0.0-3.0-1.0-1.0-0.5","3","0","zehxjkta7utjabj","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","18","96396","0.0-3.0-1.0-1.0-1.5","3","0","zehxjkta7utjabj","","4491","","audCalib/t2_2.mp3","1","","1","1","headphone-test","",""
"html-button-response","19","98736","0.0-3.0-2.0","3","0","zehxjkta7utjabj","","2088","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","",""
"instructions","20","110332","0.0-4.0-0.0","3","0","zehxjkta7utjabj","[{""page_index"":0,""viewing_time"":1284.9999999999854},{""page_index"":1,""viewing_time"":8014},{""page_index"":2,""viewing_time"":2295}]","11593.999999999985","","","","","","","","",""
"audio-keyboard-response","21","110636","0.0-4.0-1.0-0.0","3","0","zehxjkta7utjabj","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","",""
"html-button-response","22","112037","0.0-4.0-1.0-1.0","3","0","zehxjkta7utjabj","","1400","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","23","113039","0.0-4.0-1.0-2.0","3","0","zehxjkta7utjabj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","24","113846","0.0-4.0-1.0-0.1","3","0","zehxjkta7utjabj","","null","","sounds/induction/left_rev/ru_SWS.wav","","null","","","","",""
"html-button-response","25","114701","0.0-4.0-1.0-1.1","3","0","zehxjkta7utjabj","","854","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","26","115703","0.0-4.0-1.0-2.1","3","0","zehxjkta7utjabj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","27","116512","0.0-4.0-1.0-0.2","3","0","zehxjkta7utjabj","","null","","sounds/induction/right_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","28","117720","0.0-4.0-1.0-1.2","3","0","zehxjkta7utjabj","","1207","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","29","118722","0.0-4.0-1.0-2.2","3","0","zehxjkta7utjabj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","30","119531","0.0-4.0-1.0-0.3","3","0","zehxjkta7utjabj","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","",""
"html-button-response","31","120248","0.0-4.0-1.0-1.3","3","0","zehxjkta7utjabj","","716","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","32","121251","0.0-4.0-1.0-2.3","3","0","zehxjkta7utjabj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","33","122059","0.0-4.0-1.0-0.4","3","0","zehxjkta7utjabj","","null","","sounds/induction/right_rev/fu_SWS.wav","","null","","","","",""
"html-button-response","34","122886","0.0-4.0-1.0-1.4","3","0","zehxjkta7utjabj","","825.9999999999709","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","35","123888","0.0-4.0-1.0-2.4","3","0","zehxjkta7utjabj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","36","124694","0.0-4.0-1.0-0.5","3","0","zehxjkta7utjabj","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","",""
"html-button-response","37","125213","0.0-4.0-1.0-1.5","3","0","zehxjkta7utjabj","","517","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","38","126215","0.0-4.0-1.0-2.5","3","0","zehxjkta7utjabj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","39","127019","0.0-4.0-1.0-0.6","3","0","zehxjkta7utjabj","","null","","sounds/induction/right_rev/ta_SWS.wav","","null","","","","",""
"html-button-response","40","127844","0.0-4.0-1.0-1.6","3","0","zehxjkta7utjabj","","824","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","41","128846","0.0-4.0-1.0-2.6","3","0","zehxjkta7utjabj","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","42","129653","0.0-4.0-1.0-0.7","3","0","zehxjkta7utjabj","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","",""
