"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"pavlovia","0","2","0.0-0.0","2","0","cluc9gptat4x90j","","","","","","","","","","",""
"instructions","1","3971","0.0-1.0","2","0","cluc9gptat4x90j","[{""page_index"":0,""viewing_time"":1081},{""page_index"":1,""viewing_time"":2883}]","3969","","","","","","","","",""
"external-html","2","14687","0.0-2.0","2","0","cluc9gptat4x90j","","10706","consent/consent.html","","","","","","","",""
"html-button-response","3","16100","0.0-3.0-0.0-0.0","2","0","cluc9gptat4x90j","","1410","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","",""
"html-button-response","4","17497","0.0-3.0-0.0-1.0","2","0","cluc9gptat4x90j","","1143","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","",""
"audio-button-response","5","19518","0.0-3.0-0.0-2.0","2","0","cluc9gptat4x90j","","1680","","audCalib/volumetest.mp3","0","","","","","",""
"html-button-response","6","28035","0.0-3.0-1.0-0.0","2","0","cluc9gptat4x90j","","8516","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","",""
"html-keyboard-response","7","28789","0.0-3.0-1.0-1.0-0.0","2","0","cluc9gptat4x90j","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","8","32849","0.0-3.0-1.0-1.0-1.0","2","0","cluc9gptat4x90j","","4059","","audCalib/t3_1.mp3","2","","2","1","headphone-test","",""
"html-keyboard-response","9","33604","0.0-3.0-1.0-1.0-0.1","2","0","cluc9gptat4x90j","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","10","37363","0.0-3.0-1.0-1.0-1.1","2","0","cluc9gptat4x90j","","3757","","audCalib/t1_1.mp3","0","","0","1","headphone-test","",""
"html-keyboard-response","11","38117","0.0-3.0-1.0-1.0-0.2","2","0","cluc9gptat4x90j","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","12","41657","0.0-3.0-1.0-1.0-1.2","2","0","cluc9gptat4x90j","","3539","","audCalib/t2_1.mp3","1","","1","1","headphone-test","",""
"html-keyboard-response","13","42410","0.0-3.0-1.0-1.0-0.3","2","0","cluc9gptat4x90j","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","14","46349","0.0-3.0-1.0-1.0-1.3","2","0","cluc9gptat4x90j","","3936","","audCalib/t2_2.mp3","1","","1","1","headphone-test","",""
"html-keyboard-response","15","47103","0.0-3.0-1.0-1.0-0.4","2","0","cluc9gptat4x90j","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","16","50870","0.0-3.0-1.0-1.0-1.4","2","0","cluc9gptat4x90j","","3765","","audCalib/t1_2.mp3","0","","0","1","headphone-test","",""
"html-keyboard-response","17","51623","0.0-3.0-1.0-1.0-0.5","2","0","cluc9gptat4x90j","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","",""
"audio-button-response","18","55527","0.0-3.0-1.0-1.0-1.5","2","0","cluc9gptat4x90j","","3901","","audCalib/t3_2.mp3","2","","2","1","headphone-test","",""
"html-button-response","19","57238","0.0-3.0-2.0","2","0","cluc9gptat4x90j","","1458","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","",""
"instructions","20","68428","0.0-4.0-0.0","2","0","cluc9gptat4x90j","[{""page_index"":0,""viewing_time"":2557},{""page_index"":1,""viewing_time"":7101},{""page_index"":2,""viewing_time"":1532}]","11190","","","","","","","","",""
"audio-keyboard-response","21","68731","0.0-4.0-1.0-0.0","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","",""
"html-button-response","22","70474","0.0-4.0-1.0-1.0","2","0","cluc9gptat4x90j","","1741","","Was the sound coming from the left or the right?","0","","","0","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","23","71477","0.0-4.0-1.0-2.0","2","0","cluc9gptat4x90j","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","",""
"audio-keyboard-response","24","72280","0.0-4.0-1.0-0.1","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/ru_SWS.wav","","null","","","","",""
"html-button-response","25","73837","0.0-4.0-1.0-1.1","2","0","cluc9gptat4x90j","","1555","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","26","74840","0.0-4.0-1.0-2.1","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","27","75643","0.0-4.0-1.0-0.2","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/fu_SWS.wav","","null","","","","",""
"html-button-response","28","76287","0.0-4.0-1.0-1.2","2","0","cluc9gptat4x90j","","641","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","29","77289","0.0-4.0-1.0-2.2","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","30","78091","0.0-4.0-1.0-0.3","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","",""
"html-button-response","31","78878","0.0-4.0-1.0-1.3","2","0","cluc9gptat4x90j","","786","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","32","79880","0.0-4.0-1.0-2.3","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","33","80685","0.0-4.0-1.0-0.4","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/su_SWS.wav","","null","","","","",""
"html-button-response","34","81171","0.0-4.0-1.0-1.4","2","0","cluc9gptat4x90j","","483","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","35","82173","0.0-4.0-1.0-2.4","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","36","82976","0.0-4.0-1.0-0.5","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","37","83633","0.0-4.0-1.0-1.5","2","0","cluc9gptat4x90j","","652.9999999999854","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","38","84637","0.0-4.0-1.0-2.5","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","39","85440","0.0-4.0-1.0-0.6","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/su_SWS.wav","","null","","","","",""
"html-button-response","40","85953","0.0-4.0-1.0-1.6","2","0","cluc9gptat4x90j","","511","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","41","86955","0.0-4.0-1.0-2.6","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","42","87757","0.0-4.0-1.0-0.7","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/ru_SWS.wav","","null","","","","",""
"html-button-response","43","88801","0.0-4.0-1.0-1.7","2","0","cluc9gptat4x90j","","1041","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","44","89802","0.0-4.0-1.0-2.7","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","45","90605","0.0-4.0-1.0-0.8","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","46","91552","0.0-4.0-1.0-1.8","2","0","cluc9gptat4x90j","","945.9999999999854","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","47","92554","0.0-4.0-1.0-2.8","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","48","93357","0.0-4.0-1.0-0.9","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ru_SWS.wav","","null","","","","",""
"html-button-response","49","93863","0.0-4.0-1.0-1.9","2","0","cluc9gptat4x90j","","505","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","50","94866","0.0-4.0-1.0-2.9","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","51","95669","0.0-4.0-1.0-0.10","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","52","96226","0.0-4.0-1.0-1.10","2","0","cluc9gptat4x90j","","556","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","53","97229","0.0-4.0-1.0-2.10","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","54","98032","0.0-4.0-1.0-0.11","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/re_SWS.wav","","null","","","","",""
"html-button-response","55","98626","0.0-4.0-1.0-1.11","2","0","cluc9gptat4x90j","","593","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","56","99629","0.0-4.0-1.0-2.11","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","57","100432","0.0-4.0-1.0-0.12","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","58","101026","0.0-4.0-1.0-1.12","2","0","cluc9gptat4x90j","","592","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","59","102029","0.0-4.0-1.0-2.12","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","60","102832","0.0-4.0-1.0-0.13","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/fu_SWS.wav","","null","","","","",""
"html-button-response","61","103197","0.0-4.0-1.0-1.13","2","0","cluc9gptat4x90j","","364","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","62","104200","0.0-4.0-1.0-2.13","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","63","105003","0.0-4.0-1.0-0.14","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ta_SWS.wav","","null","","","","",""
"html-button-response","64","105368","0.0-4.0-1.0-1.14","2","0","cluc9gptat4x90j","","364.00000000001455","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","65","106370","0.0-4.0-1.0-2.14","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","66","107173","0.0-4.0-1.0-0.15","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","",""
"html-button-response","67","107732","0.0-4.0-1.0-1.15","2","0","cluc9gptat4x90j","","558","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","68","108735","0.0-4.0-1.0-2.15","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","69","109536","0.0-4.0-1.0-0.16","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/me_SWS.wav","","null","","","","",""
"html-button-response","70","109957","0.0-4.0-1.0-1.16","2","0","cluc9gptat4x90j","","420.00000000001455","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","71","110959","0.0-4.0-1.0-2.16","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","72","111760","0.0-4.0-1.0-0.17","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","73","112190","0.0-4.0-1.0-1.17","2","0","cluc9gptat4x90j","","428.99999999998545","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","74","113193","0.0-4.0-1.0-2.17","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","75","113994","0.0-4.0-1.0-0.18","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","",""
"html-button-response","76","114637","0.0-4.0-1.0-1.18","2","0","cluc9gptat4x90j","","640.9999999999854","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","77","115640","0.0-4.0-1.0-2.18","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","78","116442","0.0-4.0-1.0-0.19","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","",""
"html-button-response","79","117011","0.0-4.0-1.0-1.19","2","0","cluc9gptat4x90j","","567.0000000000146","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","80","118014","0.0-4.0-1.0-2.19","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","81","118816","0.0-4.0-1.0-0.20","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","82","119507","0.0-4.0-1.0-1.20","2","0","cluc9gptat4x90j","","691.0000000000146","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","83","120510","0.0-4.0-1.0-2.20","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","84","121312","0.0-4.0-1.0-0.21","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","",""
"html-button-response","85","121642","0.0-4.0-1.0-1.21","2","0","cluc9gptat4x90j","","329.00000000001455","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","86","122644","0.0-4.0-1.0-2.21","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","87","123448","0.0-4.0-1.0-0.22","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ta_SWS.wav","","null","","","","",""
"html-button-response","88","124349","0.0-4.0-1.0-1.22","2","0","cluc9gptat4x90j","","899.9999999999709","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","89","125351","0.0-4.0-1.0-2.22","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","90","126154","0.0-4.0-1.0-0.23","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/re_SWS.wav","","null","","","","",""
"html-button-response","91","126586","0.0-4.0-1.0-1.23","2","0","cluc9gptat4x90j","","430","","Was the sound coming from the left or the right?","0","","","0","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","92","127587","0.0-4.0-1.0-2.23","2","0","cluc9gptat4x90j","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","",""
"audio-keyboard-response","93","128389","0.0-4.0-1.0-0.24","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ru_SWS.wav","","null","","","","",""
"html-button-response","94","128882","0.0-4.0-1.0-1.24","2","0","cluc9gptat4x90j","","492","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","95","129885","0.0-4.0-1.0-2.24","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","96","130688","0.0-4.0-1.0-0.25","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/fu_SWS.wav","","null","","","","",""
"html-button-response","97","131286","0.0-4.0-1.0-1.25","2","0","cluc9gptat4x90j","","597","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","98","132288","0.0-4.0-1.0-2.25","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","99","133090","0.0-4.0-1.0-0.26","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","",""
"html-button-response","100","133651","0.0-4.0-1.0-1.26","2","0","cluc9gptat4x90j","","559","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","101","134653","0.0-4.0-1.0-2.26","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","102","135456","0.0-4.0-1.0-0.27","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/fe_SWS.wav","","null","","","","",""
"html-button-response","103","136126","0.0-4.0-1.0-1.27","2","0","cluc9gptat4x90j","","669","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","104","137128","0.0-4.0-1.0-2.27","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","105","137930","0.0-4.0-1.0-0.28","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/su_SWS.wav","","null","","","","",""
"html-button-response","106","138413","0.0-4.0-1.0-1.28","2","0","cluc9gptat4x90j","","479.9999999999709","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","107","139415","0.0-4.0-1.0-2.28","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","108","140218","0.0-4.0-1.0-0.29","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ko_SWS.wav","","null","","","","",""
"html-button-response","109","140644","0.0-4.0-1.0-1.29","2","0","cluc9gptat4x90j","","423","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","110","141648","0.0-4.0-1.0-2.29","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","111","142450","0.0-4.0-1.0-0.30","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/re_SWS.wav","","null","","","","",""
"html-button-response","112","143091","0.0-4.0-1.0-1.30","2","0","cluc9gptat4x90j","","639","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","113","144094","0.0-4.0-1.0-2.30","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","114","144895","0.0-4.0-1.0-0.31","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/pu_SWS.wav","","null","","","","",""
"html-button-response","115","145454","0.0-4.0-1.0-1.31","2","0","cluc9gptat4x90j","","557","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","116","146456","0.0-4.0-1.0-2.31","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","117","147258","0.0-4.0-1.0-0.32","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","",""
"html-button-response","118","147670","0.0-4.0-1.0-1.32","2","0","cluc9gptat4x90j","","411","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","119","148672","0.0-4.0-1.0-2.32","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","120","149474","0.0-4.0-1.0-0.33","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/me_SWS.wav","","null","","","","",""
"html-button-response","121","150041","0.0-4.0-1.0-1.33","2","0","cluc9gptat4x90j","","566","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","122","151042","0.0-4.0-1.0-2.33","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","123","151845","0.0-4.0-1.0-0.34","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","",""
"html-button-response","124","152197","0.0-4.0-1.0-1.34","2","0","cluc9gptat4x90j","","351","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","125","153199","0.0-4.0-1.0-2.34","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","126","154002","0.0-4.0-1.0-0.35","2","0","cluc9gptat4x90j","","null","","sounds/induction/left_rev/ti_SWS.wav","","null","","","","",""
"html-button-response","127","154691","0.0-4.0-1.0-1.35","2","0","cluc9gptat4x90j","","688","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","128","155693","0.0-4.0-1.0-2.35","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","129","156495","0.0-4.0-1.0-0.36","2","0","cluc9gptat4x90j","","null","","sounds/induction/right_rev/ni_SWS.wav","","null","","","","",""
"html-button-response","130","156923","0.0-4.0-1.0-1.36","2","0","cluc9gptat4x90j","","427","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","131","157925","0.0-4.0-1.0-2.36","2","0","cluc9gptat4x90j","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
