"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"html-keyboard-response","196","1717003","0.0-5.0-1.0-2.7","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"html-button-response","197","1718190","0.0-5.0-1.0-3.7","1","0","hvcwomzzob0x9rq","","682.9000000953674","","<p>Press the button below when you are ready to continue.</p>","0","","","","","",""
"audio-keyboard-response","198","1721314","0.0-5.0-1.0-0.8","1","0","hvcwomzzob0x9rq","","null","","sounds/sentences/left_rev/14_01_cfSWS.wav","","null","","","","",""
"html-button-response","199","1722157","0.0-5.0-1.0-1.8","1","0","hvcwomzzob0x9rq","","841","","Was the sound coming from the left or the right?","1","","","0","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","200","1723163","0.0-5.0-1.0-2.8","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","",""
"html-button-response","201","1725100","0.0-5.0-1.0-3.8","1","0","hvcwomzzob0x9rq","","1430.9000000953674","","<p>Press the button below when you are ready to continue.</p>","0","","","","","",""
"audio-keyboard-response","202","1727986","0.0-5.0-1.0-0.9","1","0","hvcwomzzob0x9rq","","null","","sounds/sentences/right_rev/14_07_cfSWS.wav","","null","","","","",""
"html-button-response","203","1728717","0.0-5.0-1.0-1.9","1","0","hvcwomzzob0x9rq","","729.2000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","204","1729725","0.0-5.0-1.0-2.9","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"html-button-response","205","1732100","0.0-5.0-1.0-3.9","1","0","hvcwomzzob0x9rq","","1869.1000000238419","","<p>Press the button below when you are ready to continue.</p>","0","","","","","",""
"html-keyboard-response","206","1734212","0.0-6.0-0.0","1","0","hvcwomzzob0x9rq","","1607.7999999523163","","<p>In this part of the study, you will hear sounds similar to those you just heard.</p><p>Please focus on these sounds, as you may be asked questions about them later.</p><p>Occasionally, the sounds will pause for up to two seconds. When this happens, please press SPACEBAR as quickly as you can.</br>This helps ensure that you are paying attention to the sounds.</p><p>This part of the study will take about 12 minutes to complete, and you will be given the opportunity to take a couple of short breaks every few minutes.</p><p><strong>Press SPACEBAR to begin</strong></p>","","32","","","","",""
"html-keyboard-response","207","1735216","0.0-6.0-1.0-0.0","1","0","hvcwomzzob0x9rq","","null","","<p style=""font-size: 40px;"">+</p>","","null","","","","",""
