"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","5","0.0-0.0","2","1","n6ly78yooxf6kf7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","55543","0.0-1.0","2","1","n6ly78yooxf6kf7","[{""page_index"":0,""viewing_time"":4451.0999999940395},{""page_index"":1,""viewing_time"":51084.59999999404}]","55536.89999997616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","62670","0.0-2.0","2","1","n6ly78yooxf6kf7","","6977.0999999940395","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","79651","0.0-3.0-0.0-0.0","2","1","n6ly78yooxf6kf7","","16980.59999999404","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","85443","0.0-3.0-0.0-1.0","2","1","n6ly78yooxf6kf7","","5533.5","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","90810","0.0-3.0-0.0-2.0","2","1","n6ly78yooxf6kf7","","4829","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","98981","0.0-3.0-1.0-0.0","2","1","n6ly78yooxf6kf7","","8169.699999988079","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","99757","0.0-3.0-1.0-1.0-0.0","2","1","n6ly78yooxf6kf7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","104573","0.0-3.0-1.0-1.0-1.0","2","1","n6ly78yooxf6kf7","","4819","","audCalib/t3_2.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","105341","0.0-3.0-1.0-1.0-0.1","2","1","n6ly78yooxf6kf7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","109930","0.0-3.0-1.0-1.0-1.1","2","1","n6ly78yooxf6kf7","","4579","","audCalib/t2_1.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","110706","0.0-3.0-1.0-1.0-0.2","2","1","n6ly78yooxf6kf7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","115565","0.0-3.0-1.0-1.0-1.2","2","1","n6ly78yooxf6kf7","","4859","","audCalib/t1_2.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","116332","0.0-3.0-1.0-1.0-0.3","2","1","n6ly78yooxf6kf7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","121087","0.0-3.0-1.0-1.0-1.3","2","1","n6ly78yooxf6kf7","","4749","","audCalib/t1_1.mp3","0","","0","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","121862","0.0-3.0-1.0-1.0-0.4","2","1","n6ly78yooxf6kf7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","126416","0.0-3.0-1.0-1.0-1.4","2","1","n6ly78yooxf6kf7","","4560","","audCalib/t2_2.mp3","1","","1","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","127202","0.0-3.0-1.0-1.0-0.5","2","1","n6ly78yooxf6kf7","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","131781","0.0-3.0-1.0-1.0-1.5","2","1","n6ly78yooxf6kf7","","4571","","audCalib/t3_1.mp3","2","","2","1","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","133748","0.0-3.0-2.0","2","1","n6ly78yooxf6kf7","","1715.5999999940395","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","163425","0.0-4.0-0.0","2","1","n6ly78yooxf6kf7","[{""page_index"":0,""viewing_time"":1483.5},{""page_index"":1,""viewing_time"":26026.5},{""page_index"":2,""viewing_time"":2165.800000011921}]","29676","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","163726","0.0-4.0-1.0-0.0","2","1","n6ly78yooxf6kf7","","null","","sounds/induction/left/su_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
