"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","timeouts","pause_rt01","pause_rt02","train_file","numKeyPress","sound","fam_type","SYLLABLE","EXEMPLAR","TD_LOCS","TD_TYPE","TDLOC_01","TDLOC_02","TDLOC_03","TDLOC_04","TD_RT_01","TD_RT_02","TD_RT_03","TD_RT_04","TD_SUBJ_RTs","number_of_plays","responses","slider_start","response","question_order","syllable","syllable_type"
"pavlovia","0","4","0.0-0.0","3","0","kxqh0adr1w0qdgn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","29819","0.0-1.0","3","0","kxqh0adr1w0qdgn","[{""page_index"":0,""viewing_time"":18915.200000047684},{""page_index"":1,""viewing_time"":10895.900000095367}]","29813.900000095367","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","2","68352","0.0-2.0","3","0","kxqh0adr1w0qdgn","","38329.59999990463","consent/consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","3","440470","0.0-3.0-0.0-0.0","3","0","kxqh0adr1w0qdgn","","372115","","<p>Welcome to the study. You will first complete a short volume calibration and headphone check.</p><p>Please make sure you are in a quiet listening environment, that you are wearing headphones, and that your computer's volume is turned on.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","441978","0.0-3.0-0.0-1.0","3","0","kxqh0adr1w0qdgn","","1245.2999999523163","","<p>The volume calibration will be first.</p><p>You will hear a thirty-second noise. Please adjust your computer's volume so that this noise is being presented at a comfortable level.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","5","447062","0.0-3.0-0.0-2.0","3","0","kxqh0adr1w0qdgn","","4160","","audCalib/volumetest.mp3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","6","458397","0.0-3.0-1.0-0.0","3","0","kxqh0adr1w0qdgn","","11332.900000095367","","<p>You will now complete a short headphone check.</p><p>On each trial, you will hear three tones. One of these tones will be quieter than the others. Your task is to identify whether the quiet tone occured first, second, or third.</p><p>There are six trials in total.<p></p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","459174","0.0-3.0-1.0-1.0-0.0","3","0","kxqh0adr1w0qdgn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","8","464008","0.0-3.0-1.0-1.0-1.0","3","0","kxqh0adr1w0qdgn","","4821","","audCalib/t1_1.mp3","1","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","464783","0.0-3.0-1.0-1.0-0.1","3","0","kxqh0adr1w0qdgn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","10","469678","0.0-3.0-1.0-1.0-1.1","3","0","kxqh0adr1w0qdgn","","4891","","audCalib/t3_1.mp3","0","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","470444","0.0-3.0-1.0-1.0-0.2","3","0","kxqh0adr1w0qdgn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","12","474588","0.0-3.0-1.0-1.0-1.2","3","0","kxqh0adr1w0qdgn","","4139","","audCalib/t3_2.mp3","1","","2","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","475355","0.0-3.0-1.0-1.0-0.3","3","0","kxqh0adr1w0qdgn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","14","479247","0.0-3.0-1.0-1.0-1.3","3","0","kxqh0adr1w0qdgn","","3891","","audCalib/t1_2.mp3","2","","0","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","480015","0.0-3.0-1.0-1.0-0.4","3","0","kxqh0adr1w0qdgn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","16","484007","0.0-3.0-1.0-1.0-1.4","3","0","kxqh0adr1w0qdgn","","3992","","audCalib/t2_1.mp3","0","","1","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","484775","0.0-3.0-1.0-1.0-0.5","3","0","kxqh0adr1w0qdgn","","null","","<div style=""font-size:60px;"">+</div>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-button-response","18","488867","0.0-3.0-1.0-1.0-1.5","3","0","kxqh0adr1w0qdgn","","4091","","audCalib/t2_2.mp3","2","","1","0","headphone-test","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","19","491497","0.0-3.0-2.0","3","0","kxqh0adr1w0qdgn","","2370.7000000476837","","<p>The volume calibration and headphone check are now complete.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","20","542816","0.0-4.0-0.0","3","0","kxqh0adr1w0qdgn","[{""page_index"":0,""viewing_time"":1648.3999998569489},{""page_index"":1,""viewing_time"":47943.40000009537},{""page_index"":2,""viewing_time"":1725.2000000476837}]","51317.799999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","21","543682","0.0-4.0-1.0-0.0","3","0","kxqh0adr1w0qdgn","","null","","sounds/induction/left_rev/ko_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","22","547009","0.0-4.0-1.0-1.0","3","0","kxqh0adr1w0qdgn","","3323.9000000953674","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","548020","0.0-4.0-1.0-2.0","3","0","kxqh0adr1w0qdgn","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","24","548832","0.0-4.0-1.0-0.1","3","0","kxqh0adr1w0qdgn","","null","","sounds/induction/left_rev/re_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","25","549903","0.0-4.0-1.0-1.1","3","0","kxqh0adr1w0qdgn","","1068","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","550910","0.0-4.0-1.0-2.1","3","0","kxqh0adr1w0qdgn","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","27","551723","0.0-4.0-1.0-0.2","3","0","kxqh0adr1w0qdgn","","null","","sounds/induction/right_rev/ru_SWS.wav","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","28","552622","0.0-4.0-1.0-1.2","3","0","kxqh0adr1w0qdgn","","894.5","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
